"year","cir.physint","cir.disap","cir.kill","cir.polpris","cir.tort","cir.newempinx","cir.assn","cir.formov","cir.dommov","cir.speech","cir.elecsd","cir.newrelfre","cir.worker","cir.wecon","cir.wopol","cir.wosoc","cir.injud","sftgcode"
1981,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,"AFG"
1982,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,"AFG"
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"AFG"
1984,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,"AFG"
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"AFG"
1986,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,"AFG"
1987,0,0,0,0,0,3,0,0,0,0,1,2,0,0,1,0,0,"AFG"
1988,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,"AFG"
1989,0,0,0,0,0,3,0,0,1,0,0,2,0,0,1,0,0,"AFG"
1990,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,"AFG"
1991,1,0,0,0,1,3,0,0,2,0,0,1,0,0,0,0,0,"AFG"
1992,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"AFG"
1993,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"AFG"
1994,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"AFG"
1995,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"AFG"
1996,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,"AFG"
1997,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,"AFG"
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AFG"
1999,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,"AFG"
2000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"AFG"
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AFG"
2002,3,1,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,"AFG"
2003,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"AFG"
2004,NA,-66,-66,-66,-66,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,"AFG"
2005,4,2,1,1,0,2,1,0,0,0,1,0,0,0,2,NA,0,"AFG"
2006,4,2,1,1,0,3,1,0,1,0,1,0,0,0,2,NA,0,"AFG"
2007,4,2,1,1,0,4,1,1,1,0,1,0,0,0,3,1,0,"AFG"
2008,3,2,0,1,0,3,1,1,1,0,0,0,0,0,2,NA,0,"AFG"
2009,4,2,1,1,0,1,0,0,0,0,1,0,0,0,2,NA,0,"AFG"
2010,3,2,0,1,0,2,1,0,0,0,1,0,0,0,2,NA,0,"AFG"
2011,4,2,0,2,0,4,1,0,0,1,1,0,1,0,2,NA,0,"AFG"
1981,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1982,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1983,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1984,1,1,0,0,0,1,0,0,0,1,0,0,0,1,2,1,0,"ALB"
1985,NA,2,-999,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1986,NA,2,-999,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1987,NA,2,-999,0,1,1,0,0,0,1,0,0,0,1,2,1,0,"ALB"
1988,NA,2,-999,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1989,NA,2,-999,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ALB"
1990,3,2,1,0,0,2,0,0,0,1,1,0,0,1,2,1,1,"ALB"
1991,4,2,1,0,1,10,0,2,2,1,1,2,2,1,1,-999,2,"ALB"
1992,6,2,2,1,1,9,1,2,2,1,1,1,1,1,2,1,1,"ALB"
1993,6,2,2,1,1,8,0,2,2,1,1,1,1,1,2,1,1,"ALB"
1994,7,2,2,2,1,12,1,2,2,1,2,2,2,1,2,-999,2,"ALB"
1995,4,2,0,1,1,11,1,2,2,1,2,1,2,1,2,1,1,"ALB"
1996,4,2,1,1,0,9,1,2,2,1,0,1,2,1,2,1,1,"ALB"
1997,4,2,1,1,0,10,1,2,2,1,1,1,2,1,2,1,1,"ALB"
1998,5,2,1,1,1,12,2,2,2,1,2,2,1,1,2,1,1,"ALB"
1999,5,2,1,2,0,12,2,1,2,1,2,2,2,1,2,1,1,"ALB"
2000,3,2,1,0,0,9,1,2,2,1,1,1,1,1,2,1,1,"ALB"
2001,6,2,2,2,0,11,2,1,2,1,2,1,2,1,2,1,1,"ALB"
2002,6,2,2,2,0,12,2,2,2,1,2,2,1,1,2,1,1,"ALB"
2003,5,2,1,2,0,10,1,2,2,1,2,1,1,2,2,-999,1,"ALB"
2004,6,2,1,2,1,11,1,2,2,1,2,2,1,1,2,2,1,"ALB"
2005,7,2,2,2,1,10,2,2,2,1,1,1,1,1,2,NA,1,"ALB"
2006,6,2,2,2,0,11,2,2,2,1,1,2,1,1,2,NA,0,"ALB"
2007,7,2,2,2,1,10,2,2,1,1,1,2,1,2,2,1,0,"ALB"
2008,7,2,2,2,1,12,2,2,2,2,1,2,1,0,2,NA,0,"ALB"
2009,7,2,2,2,1,11,2,2,2,1,1,2,1,1,2,NA,0,"ALB"
2010,7,2,2,2,1,11,2,2,2,1,1,2,1,1,2,NA,0,"ALB"
2011,6,2,1,2,1,9,2,2,1,1,1,1,1,1,2,NA,0,"ALB"
1981,7,2,1,2,2,6,0,1,1,1,1,2,0,1,1,0,1,"ALG"
1982,8,2,2,2,2,4,0,1,1,0,0,2,0,-999,1,-999,2,"ALG"
1983,7,2,2,2,1,4,0,1,1,0,0,2,0,-999,1,1,2,"ALG"
1984,5,2,1,1,1,4,0,1,1,0,1,1,0,1,1,0,1,"ALG"
1985,7,2,2,1,2,2,0,1,1,0,0,0,0,1,1,1,2,"ALG"
1986,6,2,2,1,1,3,0,1,1,0,0,1,0,1,1,1,2,"ALG"
1987,5,2,1,1,1,5,0,1,1,0,1,2,0,1,1,0,1,"ALG"
1988,4,2,2,0,0,3,0,1,1,0,0,1,0,1,1,0,2,"ALG"
1989,5,2,2,1,0,6,0,2,1,1,0,1,1,-999,1,0,2,"ALG"
1990,5,2,1,1,1,6,0,2,1,1,1,1,0,1,1,0,1,"ALG"
1991,4,1,2,0,1,4,0,1,1,1,0,0,1,1,1,0,1,"ALG"
1992,2,2,0,0,0,3,0,1,1,0,0,0,1,1,2,0,1,"ALG"
1993,2,2,0,0,0,6,1,1,1,0,1,1,1,1,1,0,1,"ALG"
1994,2,2,0,0,0,4,1,1,1,0,0,0,1,1,2,0,1,"ALG"
1995,0,0,0,0,0,3,0,1,1,0,0,1,0,1,2,0,1,"ALG"
1996,3,1,1,1,0,6,1,1,1,1,1,0,1,1,2,0,1,"ALG"
1997,0,0,0,0,0,6,1,1,1,1,0,1,1,1,2,0,1,"ALG"
1998,4,1,1,1,1,4,0,1,1,0,0,1,1,1,2,0,1,"ALG"
1999,0,0,0,0,0,6,0,1,1,1,1,1,1,1,2,0,1,"ALG"
2000,4,1,1,1,1,7,0,2,1,1,0,1,2,1,2,0,1,"ALG"
2001,4,2,1,1,0,7,0,2,1,1,1,1,1,1,2,0,1,"ALG"
2002,2,1,1,0,0,6,0,2,1,1,1,1,0,1,2,0,1,"ALG"
2003,1,1,0,0,0,4,0,1,1,0,1,1,0,1,2,1,1,"ALG"
2004,5,2,1,1,1,4,0,2,1,0,1,0,0,1,1,0,1,"ALG"
2005,5,2,1,1,1,3,0,1,1,0,1,0,0,1,2,NA,0,"ALG"
2006,1,1,0,0,0,5,0,2,1,0,1,1,0,1,2,NA,0,"ALG"
2007,4,2,1,1,0,5,0,1,1,0,1,0,2,1,2,0,0,"ALG"
2008,5,2,1,1,1,3,0,1,1,0,0,1,0,2,2,NA,1,"ALG"
2009,6,2,2,1,1,3,0,1,1,0,1,0,0,1,2,NA,1,"ALG"
2010,5,2,1,1,1,3,0,1,1,0,1,0,0,2,2,NA,1,"ALG"
2011,4,1,1,1,1,3,0,1,1,0,1,0,0,1,2,NA,1,"ALG"
1981,5,2,1,0,2,2,0,1,0,0,0,1,0,1,2,-999,0,"ANG"
1982,2,2,0,0,0,2,0,1,0,0,0,1,0,-999,2,-999,1,"ANG"
1983,2,2,0,0,0,4,0,1,1,0,0,2,0,-999,2,1,1,"ANG"
1984,3,2,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,"ANG"
1985,5,2,1,0,2,3,0,1,1,0,0,1,0,1,2,-999,1,"ANG"
1986,4,2,1,0,1,2,0,0,1,0,0,1,0,-999,2,1,0,"ANG"
1987,3,2,0,0,1,1,0,0,1,0,0,0,0,1,2,-999,0,"ANG"
1988,4,2,1,0,1,2,0,0,1,0,0,1,0,-999,2,-999,1,"ANG"
1989,1,1,0,0,0,1,0,0,0,0,0,1,0,-999,2,-999,1,"ANG"
1990,3,1,0,1,1,2,1,0,0,1,0,0,0,-999,2,-999,0,"ANG"
1991,1,0,0,0,1,8,1,1,2,1,0,2,1,-999,2,1,1,"ANG"
1992,NA,-77,-77,-77,-77,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"ANG"
1993,2,1,0,0,1,7,1,1,1,1,0,2,1,2,2,1,0,"ANG"
1994,2,1,0,1,0,3,0,1,0,0,0,2,0,1,2,1,0,"ANG"
1995,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ANG"
1996,0,0,0,0,0,3,0,1,0,0,0,2,0,1,2,1,0,"ANG"
1997,0,0,0,0,0,4,0,1,1,0,0,2,0,1,2,1,0,"ANG"
1998,1,0,0,1,0,3,0,0,0,0,0,2,1,1,2,1,0,"ANG"
1999,2,0,0,2,0,3,0,0,1,0,0,2,0,1,2,1,0,"ANG"
2000,1,0,0,1,0,6,1,0,2,0,0,2,1,1,2,1,0,"ANG"
2001,1,0,0,1,0,3,0,0,1,0,0,2,0,1,2,1,0,"ANG"
2002,2,0,0,2,0,5,1,0,2,0,0,2,0,1,2,1,0,"ANG"
2003,3,1,0,2,0,6,1,0,1,1,1,2,0,1,2,1,0,"ANG"
2004,3,1,0,2,0,6,1,0,1,1,1,2,0,1,2,1,0,"ANG"
2005,3,1,1,1,0,5,1,0,1,1,1,1,0,1,2,NA,0,"ANG"
2006,4,2,1,1,0,6,1,0,1,1,1,2,0,1,2,NA,0,"ANG"
2007,2,1,0,1,0,5,1,0,0,1,1,1,1,1,2,1,0,"ANG"
2008,3,1,1,1,0,4,0,0,0,0,1,2,1,0,2,NA,0,"ANG"
2009,2,1,1,0,0,3,0,0,0,1,1,1,0,1,2,NA,0,"ANG"
2010,4,2,1,1,0,5,1,0,0,0,1,2,1,1,2,NA,0,"ANG"
2011,4,1,1,1,1,4,0,1,0,1,1,1,0,1,3,NA,0,"ANG"
1981,1,1,0,0,0,7,1,2,1,1,0,1,1,-999,-999,-999,0,"ARG"
1982,5,2,1,1,1,10,2,2,2,1,1,1,1,1,1,1,1,"ARG"
1983,6,2,1,2,1,11,2,2,2,2,2,0,1,-999,1,-999,1,"ARG"
1984,6,2,1,1,2,9,1,2,2,1,1,1,1,1,1,1,1,"ARG"
1985,7,2,2,2,1,12,1,2,2,2,2,1,2,2,1,2,2,"ARG"
1986,8,2,2,2,2,13,2,2,2,2,2,1,2,2,1,2,2,"ARG"
1987,6,2,1,1,2,12,2,2,2,1,1,2,2,2,2,2,1,"ARG"
1988,6,2,2,1,1,13,2,2,2,2,2,1,2,2,2,2,2,"ARG"
1989,7,2,2,2,1,13,2,2,2,2,2,1,2,2,2,2,2,"ARG"
1990,4,1,1,2,0,14,2,2,2,2,2,2,2,1,2,1,1,"ARG"
1991,6,2,1,2,1,13,2,2,2,2,2,2,1,1,2,1,1,"ARG"
1992,6,1,2,2,1,12,2,2,2,1,2,1,2,1,2,1,1,"ARG"
1993,5,1,1,2,1,11,2,2,2,1,2,0,2,2,2,1,1,"ARG"
1994,5,2,1,2,0,11,2,2,2,0,2,2,1,1,2,-999,1,"ARG"
1995,7,2,1,2,2,13,2,2,2,2,2,2,1,1,2,-999,1,"ARG"
1996,5,2,1,1,1,13,2,2,2,1,2,2,2,1,2,-999,1,"ARG"
1997,5,2,1,1,1,13,2,2,2,1,2,2,2,1,2,-999,1,"ARG"
1998,3,2,0,1,0,13,2,2,2,1,2,2,2,1,2,-999,1,"ARG"
1999,4,2,1,1,0,12,1,2,2,1,2,2,2,1,2,-999,1,"ARG"
2000,3,2,0,1,0,13,2,2,2,1,2,2,2,1,2,-999,1,"ARG"
2001,3,2,0,1,0,12,1,2,2,1,2,2,2,1,3,-999,1,"ARG"
2002,4,2,1,1,0,14,2,2,2,2,2,2,2,1,3,-999,1,"ARG"
2003,5,2,0,2,1,13,2,2,2,2,2,2,1,1,3,-999,1,"ARG"
2004,4,2,0,2,0,13,2,2,2,2,2,2,1,2,3,3,1,"ARG"
2005,6,2,1,2,1,13,2,2,2,2,2,2,1,2,3,NA,1,"ARG"
2006,5,1,1,2,1,13,2,2,2,2,2,2,1,1,3,NA,1,"ARG"
2007,6,2,1,2,1,13,2,2,2,2,2,2,1,2,3,2,1,"ARG"
2008,5,2,1,1,1,11,2,2,2,1,1,2,1,1,3,NA,0,"ARG"
2009,5,2,1,2,0,12,2,2,2,1,2,2,1,2,3,NA,0,"ARG"
2010,4,2,1,1,0,12,2,2,2,1,2,2,1,2,3,NA,0,"ARG"
2011,5,2,1,2,0,12,2,2,2,1,2,2,1,2,3,NA,1,"ARG"
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM"
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM"
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM"
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM"
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM"
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM"
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM"
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM"
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM"
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM"
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM"
1992,8,2,2,2,2,8,2,2,0,1,1,2,0,0,2,0,1,"ARM"
1993,7,2,2,2,1,9,2,2,1,1,2,1,0,1,2,1,1,"ARM"
1994,7,2,2,2,1,8,2,2,0,1,1,1,1,1,2,1,1,"ARM"
1995,5,2,2,1,0,3,1,1,0,1,0,0,0,1,2,1,1,"ARM"
1996,5,2,2,0,1,6,1,1,1,1,1,1,0,1,2,1,1,"ARM"
1997,5,2,2,1,0,6,1,1,1,1,1,1,0,1,2,1,1,"ARM"
1998,4,2,1,1,0,7,2,1,1,1,0,1,1,1,2,1,1,"ARM"
1999,6,2,2,2,0,8,2,1,1,1,1,0,2,1,2,1,1,"ARM"
2000,4,2,1,1,0,6,1,1,1,1,0,1,1,1,1,1,1,"ARM"
2001,6,2,2,2,0,9,2,1,1,1,1,1,2,1,2,1,1,"ARM"
2002,6,2,2,2,0,8,2,1,1,1,1,0,2,1,2,1,1,"ARM"
2003,6,2,2,1,1,5,2,1,1,1,0,0,0,1,1,1,1,"ARM"
2004,4,2,2,0,0,8,1,2,1,1,1,1,1,1,1,2,1,"ARM"
2005,5,2,2,1,0,8,1,2,1,1,1,1,1,1,1,NA,0,"ARM"
2006,5,2,2,1,0,7,1,2,1,1,1,1,0,1,2,NA,0,"ARM"
2007,3,2,1,0,0,6,1,1,1,1,1,1,0,2,2,1,0,"ARM"
2008,3,2,1,0,0,3,0,1,1,0,0,1,0,1,2,NA,0,"ARM"
2009,3,2,1,0,0,3,0,1,1,0,0,1,0,1,2,NA,0,"ARM"
2010,3,2,1,0,0,3,0,1,1,0,0,1,0,1,2,NA,0,"ARM"
2011,4,2,1,1,0,6,1,1,1,1,1,0,1,1,2,NA,0,"ARM"
1981,8,2,2,2,2,13,2,2,2,2,1,2,2,-999,2,-999,2,"AUL"
1982,8,2,2,2,2,14,2,2,2,2,2,2,2,-999,2,-999,2,"AUL"
1983,7,2,2,2,1,14,2,2,2,2,2,2,2,1,2,1,2,"AUL"
1984,8,2,2,2,2,14,2,2,2,2,2,2,2,2,2,2,2,"AUL"
1985,8,2,2,2,2,14,2,2,2,2,2,2,2,2,2,2,2,"AUL"
1986,7,2,2,2,1,14,2,2,2,2,2,2,2,2,2,2,2,"AUL"
1987,8,2,2,2,2,13,2,2,2,2,1,2,2,2,2,2,2,"AUL"
1988,6,2,2,1,1,14,2,2,2,2,2,2,2,2,2,2,2,"AUL"
1989,7,2,2,2,1,14,2,2,2,2,2,2,2,2,2,2,2,"AUL"
1990,7,2,2,2,1,13,2,2,2,2,1,2,2,2,2,2,2,"AUL"
1991,7,2,2,2,1,14,2,2,2,2,2,2,2,2,2,3,2,"AUL"
1992,7,2,2,2,1,14,2,2,2,2,2,2,2,2,2,3,2,"AUL"
1993,8,2,2,2,2,12,2,2,2,1,1,2,2,2,2,3,2,"AUL"
1994,6,2,2,1,1,13,2,2,2,1,2,2,2,2,2,2,2,"AUL"
1995,8,2,2,2,2,14,2,2,2,2,2,2,2,2,2,2,2,"AUL"
1996,7,2,2,2,1,13,2,2,2,2,2,2,1,2,2,2,2,"AUL"
1997,7,2,2,2,1,13,2,2,2,2,2,2,1,2,2,3,2,"AUL"
1998,7,2,2,2,1,13,2,2,2,2,2,2,1,2,2,2,2,"AUL"
1999,7,2,2,2,1,13,2,2,2,2,2,2,1,2,2,3,2,"AUL"
2000,7,2,2,2,1,13,2,2,2,2,2,2,1,2,2,3,2,"AUL"
2001,7,2,2,2,1,13,2,2,2,2,2,2,1,2,2,3,2,"AUL"
2002,7,2,2,2,1,13,2,2,2,2,2,2,1,2,2,3,2,"AUL"
2003,7,2,2,2,1,13,2,2,2,2,2,2,1,3,2,3,2,"AUL"
2004,7,2,2,2,1,13,2,2,2,2,2,2,1,3,2,2,2,"AUL"
2005,7,2,2,2,1,13,2,2,2,2,2,2,1,3,2,NA,2,"AUL"
2006,7,2,2,2,1,13,2,2,2,2,2,2,1,3,2,NA,2,"AUL"
2007,7,2,2,2,1,13,2,2,2,2,2,2,1,3,2,3,2,"AUL"
2008,7,2,2,2,1,11,2,2,2,2,2,0,1,2,3,NA,2,"AUL"
2009,6,2,1,2,1,13,2,2,2,2,2,2,1,3,3,NA,2,"AUL"
2010,7,2,2,2,1,13,2,2,2,2,2,2,1,3,3,NA,2,"AUL"
2011,7,2,2,2,1,14,2,2,2,2,2,2,2,3,2,NA,2,"AUL"
1981,8,2,2,2,2,13,1,2,2,2,2,2,2,2,2,2,2,"AUS"
1982,8,2,2,2,2,12,1,2,2,1,2,2,2,1,2,-999,2,"AUS"
1983,8,2,2,2,2,11,1,2,2,1,1,2,2,1,2,-999,2,"AUS"
1984,8,2,2,2,2,13,1,2,2,2,2,2,2,1,2,-999,2,"AUS"
1985,8,2,2,2,2,13,1,2,2,2,2,2,2,1,2,1,2,"AUS"
1986,8,2,2,2,2,13,1,2,2,2,2,2,2,1,2,1,2,"AUS"
1987,8,2,2,2,2,13,1,2,2,2,2,2,2,1,2,1,2,"AUS"
1988,6,2,2,1,1,13,1,2,2,2,2,2,2,1,2,1,2,"AUS"
1989,7,2,2,2,1,11,1,2,2,1,1,2,2,2,2,1,2,"AUS"
1990,7,2,2,2,1,13,1,2,2,2,2,2,2,2,2,1,2,"AUS"
1991,7,2,2,2,1,13,1,2,2,2,2,2,2,2,2,2,2,"AUS"
1992,7,2,2,2,1,13,1,2,2,2,2,2,2,2,2,2,2,"AUS"
1993,7,2,2,2,1,13,1,2,2,2,2,2,2,2,2,2,2,"AUS"
1994,7,2,2,2,1,13,1,2,2,2,2,2,2,2,2,2,2,"AUS"
1995,7,2,2,2,1,12,1,2,2,1,2,2,2,2,2,2,2,"AUS"
1996,8,2,2,2,2,12,1,2,2,1,2,2,2,2,2,2,2,"AUS"
1997,8,2,2,2,2,11,1,2,2,1,2,1,2,2,2,2,2,"AUS"
1998,6,2,2,2,0,10,1,2,2,1,2,1,1,2,2,2,2,"AUS"
1999,7,2,2,2,1,11,1,2,2,1,2,1,2,2,2,-999,2,"AUS"
2000,5,2,1,2,0,10,1,2,2,1,2,1,1,2,3,-999,2,"AUS"
2001,7,2,2,2,1,11,1,2,2,1,2,1,2,2,3,-999,2,"AUS"
2002,7,2,2,2,1,11,1,2,2,1,2,1,2,2,3,-999,2,"AUS"
2003,6,2,1,2,1,11,1,2,2,1,2,1,2,2,3,2,2,"AUS"
2004,7,2,2,2,1,11,1,2,2,1,2,1,2,2,3,-999,2,"AUS"
2005,7,2,2,2,1,11,1,2,2,1,2,1,2,2,3,NA,2,"AUS"
2006,7,2,2,2,1,12,2,2,2,1,2,1,2,2,3,NA,2,"AUS"
2007,7,2,2,2,1,12,2,2,2,1,2,1,2,3,3,2,2,"AUS"
2008,7,2,2,2,1,12,2,2,2,1,2,2,1,2,3,NA,2,"AUS"
2009,7,2,1,2,2,12,2,2,2,1,2,1,2,2,2,NA,2,"AUS"
2010,7,2,2,2,1,13,2,2,2,1,2,2,2,3,3,NA,2,"AUS"
2011,7,2,2,2,1,12,2,2,2,1,2,2,1,3,3,NA,2,"AUS"
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
1992,4,1,1,1,1,6,1,2,1,1,0,0,1,1,1,1,1,"AZE"
1993,3,0,2,0,1,4,0,1,1,0,0,1,1,2,2,1,0,"AZE"
1994,3,1,1,0,1,4,0,1,0,0,0,2,1,1,2,1,0,"AZE"
1995,4,2,1,0,1,5,1,1,1,0,0,1,1,1,2,1,0,"AZE"
1996,3,2,1,0,0,4,1,2,1,0,0,0,0,1,2,1,0,"AZE"
1997,3,2,1,0,0,7,0,2,2,1,1,0,1,1,2,1,0,"AZE"
1998,4,2,2,0,0,4,0,1,1,1,0,0,1,1,2,1,0,"AZE"
1999,5,2,1,1,1,6,1,1,1,1,1,0,1,1,2,1,0,"AZE"
2000,4,2,1,1,0,4,1,1,1,0,0,0,1,1,2,1,0,"AZE"
2001,5,2,2,0,1,6,1,1,1,1,1,0,1,1,2,1,0,"AZE"
2002,4,2,2,0,0,5,1,1,1,1,1,0,0,1,2,1,0,"AZE"
2003,3,2,1,0,0,3,0,1,1,1,0,0,0,1,2,-999,0,"AZE"
2004,3,2,1,0,0,4,1,1,1,0,1,0,0,1,2,2,0,"AZE"
2005,2,1,1,0,0,5,1,2,1,0,1,0,0,1,2,NA,0,"AZE"
2006,2,1,1,0,0,4,1,1,1,0,1,0,0,1,2,NA,0,"AZE"
2007,2,1,1,0,0,4,0,1,1,0,1,0,1,1,2,1,0,"AZE"
2008,3,2,1,0,0,3,0,1,1,0,0,1,0,1,2,NA,0,"AZE"
2009,3,2,1,0,0,2,0,0,1,0,1,0,0,1,2,NA,0,"AZE"
2010,3,2,1,0,0,3,0,1,1,0,1,0,0,1,2,NA,0,"AZE"
2011,3,2,1,0,0,4,0,1,1,1,1,0,0,1,2,NA,0,"AZE"
1981,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1982,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1983,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1984,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1985,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,0,NA,NA,NA,NA,2,"BHM"
1986,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1987,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,1,NA,NA,NA,NA,2,"BHM"
1988,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1989,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1990,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1991,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1992,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1993,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1994,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1995,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1996,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1997,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1998,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
1999,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
2000,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
2001,7,2,2,2,1,14,2,2,2,2,2,2,2,2,2,0,2,"BHM"
2002,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,"BHM"
2003,6,2,1,2,1,14,2,2,2,2,2,2,2,2,2,0,2,"BHM"
