"sftgcode","year","eth.frac","eth.largest","eth.ratio","rel.frac","rel.largest","rel.ratio"
"CAM",1981,0.195,0.895,18.45,0.125,0.934,21.65
"CAM",1982,0.194,0.896,18.65,0.124,0.934,21.8
"CAM",1983,0.193,0.896,18.86,0.124,0.935,21.96
"CAM",1984,0.191,0.897,19.07,0.123,0.935,22.11
"CAM",1985,0.19,0.898,19.27,0.122,0.936,22.27
"CAM",1986,0.188,0.899,19.49,0.122,0.936,22.42
"CAM",1987,0.187,0.9,19.7,0.121,0.936,22.58
"CAM",1988,0.186,0.9,19.92,0.12,0.937,22.74
"CAM",1989,0.184,0.901,20.14,0.12,0.937,22.9
"CAM",1990,0.183,0.902,20.36,0.119,0.937,23.06
"CAM",1991,0.182,0.903,20.59,0.118,0.938,23.22
"CAM",1992,0.18,0.904,20.81,0.118,0.938,23.38
"CAM",1993,0.179,0.904,21.04,0.117,0.939,23.55
"CAM",1994,0.178,0.905,21.27,0.116,0.939,23.71
"CAM",1995,0.177,0.906,21.51,0.116,0.939,23.88
"CAM",1996,0.175,0.906,21.75,0.115,0.94,24.04
"CAM",1997,0.174,0.907,21.99,0.114,0.94,24.21
"CAM",1998,0.173,0.908,22.23,0.114,0.94,24.38
"CAM",1999,0.172,0.908,22.47,0.113,0.941,24.56
"CAM",2000,0.171,0.909,22.72,0.112,0.941,24.73
"CAM",2001,0.17,0.91,22.97,0.112,0.941,24.9
"CAM",2002,0.169,0.91,23.23,0.111,0.942,25.08
"CAM",2003,0.167,0.911,23.48,0.111,0.942,25.25
"CAM",2004,0.166,0.912,23.74,0.11,0.942,25.43
"CAM",2005,0.165,0.912,24.01,0.109,0.943,25.61
"CAM",2006,0.164,0.913,24.27,0.109,0.943,25.79
"CAM",2007,0.163,0.913,24.54,0.108,0.944,25.97
"CAM",2008,0.162,0.914,24.81,0.107,0.944,26.16
"CAM",2009,0.161,0.914,25.09,0.107,0.944,26.34
"CAM",2010,0.16,0.915,25.36,0.106,0.945,26.53
"CAM",2011,0.16,0.915,25.65,0.106,0.945,26.71
"CAM",2012,0.159,0.916,25.93,0.105,0.945,26.9
"CAM",2013,0.158,0.916,26.22,0.104,0.945,27.09
"CAN",1945,0.659,0.448,1.34,0.521,0.514,1.11
"CAN",1946,0.661,0.447,1.35,0.524,0.512,1.11
"CAN",1947,0.663,0.447,1.36,0.527,0.509,1.1
"CAN",1948,0.664,0.447,1.36,0.53,0.506,1.1
"CAN",1949,0.666,0.447,1.37,0.533,0.504,1.09
"CAN",1950,0.668,0.446,1.38,0.536,0.501,1.09
"CAN",1951,0.669,0.446,1.38,0.539,0.499,1.08
"CAN",1952,0.671,0.446,1.39,0.542,0.496,1.08
"CAN",1953,0.672,0.446,1.4,0.544,0.493,1.07
"CAN",1954,0.674,0.445,1.4,0.547,0.491,1.07
"CAN",1955,0.675,0.445,1.41,0.55,0.488,1.06
"CAN",1956,0.677,0.445,1.42,0.553,0.485,1.06
"CAN",1957,0.678,0.445,1.42,0.555,0.483,1.05
"CAN",1958,0.679,0.444,1.43,0.558,0.48,1.05
"CAN",1959,0.681,0.444,1.44,0.56,0.477,1.04
"CAN",1960,0.682,0.444,1.45,0.563,0.475,1.04
"CAN",1961,0.683,0.444,1.45,0.566,0.472,1.03
"CAN",1962,0.684,0.443,1.46,0.568,0.47,1.03
"CAN",1963,0.685,0.443,1.47,0.57,0.467,1.02
"CAN",1964,0.686,0.443,1.48,0.573,0.464,1.02
"CAN",1965,0.687,0.443,1.48,0.575,0.462,1.01
"CAN",1966,0.689,0.442,1.49,0.578,0.459,1.01
"CAN",1967,0.689,0.442,1.5,0.58,0.456,1
"CAN",1968,0.69,0.442,1.51,0.582,0.456,1.01
"CAN",1969,0.691,0.442,1.51,0.585,0.456,1.01
"CAN",1970,0.692,0.441,1.52,0.587,0.456,1.02
"CAN",1971,0.693,0.441,1.53,0.589,0.455,1.02
"CAN",1972,0.694,0.441,1.54,0.592,0.455,1.03
"CAN",1973,0.695,0.441,1.55,0.594,0.455,1.03
"CAN",1974,0.696,0.44,1.56,0.596,0.455,1.04
"CAN",1975,0.696,0.44,1.56,0.598,0.454,1.04
"CAN",1976,0.697,0.44,1.57,0.6,0.454,1.05
"CAN",1977,0.698,0.44,1.58,0.603,0.454,1.05
"CAN",1978,0.699,0.439,1.59,0.605,0.454,1.06
"CAN",1979,0.699,0.439,1.6,0.607,0.453,1.07
"CAN",1980,0.7,0.439,1.61,0.609,0.453,1.07
"CAN",1981,0.701,0.439,1.61,0.611,0.453,1.08
"CAN",1982,0.701,0.438,1.62,0.613,0.452,1.08
"CAN",1983,0.702,0.438,1.63,0.615,0.452,1.09
"CAN",1984,0.703,0.438,1.64,0.617,0.452,1.1
"CAN",1985,0.703,0.438,1.65,0.619,0.452,1.1
"CAN",1986,0.704,0.437,1.66,0.621,0.451,1.11
"CAN",1987,0.705,0.437,1.67,0.623,0.451,1.11
"CAN",1988,0.705,0.437,1.68,0.625,0.451,1.12
"CAN",1989,0.706,0.437,1.69,0.627,0.451,1.13
"CAN",1990,0.707,0.436,1.7,0.629,0.45,1.13
"CAN",1991,0.707,0.436,1.7,0.631,0.45,1.14
"CAN",1992,0.708,0.436,1.71,0.633,0.45,1.15
"CAN",1993,0.709,0.436,1.72,0.635,0.45,1.15
"CAN",1994,0.709,0.435,1.73,0.637,0.449,1.16
"CAN",1995,0.71,0.435,1.74,0.639,0.449,1.17
"CAN",1996,0.711,0.435,1.75,0.641,0.449,1.17
"CAN",1997,0.712,0.435,1.76,0.643,0.449,1.18
"CAN",1998,0.713,0.434,1.77,0.645,0.448,1.19
"CAN",1999,0.713,0.434,1.78,0.647,0.448,1.2
"CAN",2000,0.714,0.434,1.79,0.649,0.448,1.2
"CAN",2001,0.715,0.434,1.8,0.651,0.448,1.21
"CAN",2002,0.716,0.433,1.81,0.653,0.447,1.22
"CAN",2003,0.717,0.433,1.82,0.655,0.447,1.23
"CAN",2004,0.718,0.433,1.83,0.657,0.447,1.23
"CAN",2005,0.719,0.433,1.84,0.659,0.447,1.24
"CAN",2006,0.72,0.432,1.85,0.661,0.446,1.25
"CAN",2007,0.722,0.432,1.86,0.663,0.446,1.26
"CAN",2008,0.723,0.432,1.87,0.666,0.446,1.26
"CAN",2009,0.724,0.432,1.89,0.668,0.445,1.27
"CAN",2010,0.725,0.431,1.9,0.67,0.445,1.28
"CAN",2011,0.727,0.431,1.91,0.672,0.445,1.29
"CAN",2012,0.728,0.431,1.92,0.674,0.445,1.3
"CAN",2013,0.73,0.431,1.93,0.676,0.444,1.3
"CAO",1960,NA,NA,NA,0.705,0.38,1.15
"CAO",1961,NA,NA,NA,0.706,0.379,1.15
"CAO",1962,NA,NA,NA,0.707,0.377,1.15
"CAO",1963,NA,NA,NA,0.708,0.376,1.15
"CAO",1964,NA,NA,NA,0.709,0.375,1.15
"CAO",1965,NA,NA,NA,0.71,0.373,1.15
"CAO",1966,NA,NA,NA,0.711,0.372,1.15
"CAO",1967,NA,NA,NA,0.712,0.37,1.15
"CAO",1968,NA,NA,NA,0.713,0.369,1.15
"CAO",1969,NA,NA,NA,0.714,0.368,1.15
"CAO",1970,NA,NA,NA,0.715,0.366,1.15
"CAO",1971,NA,NA,NA,0.715,0.365,1.15
"CAO",1972,NA,NA,NA,0.716,0.364,1.15
"CAO",1973,NA,NA,NA,0.717,0.362,1.15
"CAO",1974,NA,NA,NA,0.718,0.361,1.15
"CAO",1975,NA,NA,NA,0.719,0.36,1.15
"CAO",1976,NA,NA,NA,0.72,0.358,1.15
"CAO",1977,NA,NA,NA,0.721,0.357,1.15
"CAO",1978,NA,NA,NA,0.722,0.355,1.15
"CAO",1979,NA,NA,NA,0.723,0.354,1.15
"CAO",1980,NA,NA,NA,0.723,0.353,1.15
"CAO",1981,NA,NA,NA,0.724,0.351,1.15
"CAO",1982,NA,NA,NA,0.725,0.35,1.15
"CAO",1983,NA,NA,NA,0.726,0.348,1.15
"CAO",1984,NA,NA,NA,0.727,0.347,1.15
"CAO",1985,NA,NA,NA,0.727,0.346,1.15
"CAO",1986,NA,NA,NA,0.728,0.344,1.15
"CAO",1987,NA,NA,NA,0.729,0.343,1.15
"CAO",1988,NA,NA,NA,0.73,0.341,1.15
"CAO",1989,NA,NA,NA,0.73,0.34,1.15
"CAO",1990,NA,NA,NA,0.731,0.339,1.15
"CAO",1991,NA,NA,NA,0.732,0.337,1.15
"CAO",1992,NA,NA,NA,0.732,0.336,1.15
"CAO",1993,NA,NA,NA,0.733,0.334,1.14
"CAO",1994,NA,NA,NA,0.734,0.333,1.14
"CAO",1995,NA,NA,NA,0.734,0.332,1.14
"CAO",1996,NA,NA,NA,0.735,0.33,1.14
"CAO",1997,NA,NA,NA,0.736,0.329,1.14
"CAO",1998,NA,NA,NA,0.736,0.327,1.14
"CAO",1999,NA,NA,NA,0.737,0.326,1.14
"CAO",2000,NA,NA,NA,0.737,0.324,1.14
"CAO",2001,NA,NA,NA,0.738,0.323,1.14
"CAO",2002,NA,NA,NA,0.739,0.322,1.14
"CAO",2003,NA,NA,NA,0.739,0.32,1.14
"CAO",2004,NA,NA,NA,0.74,0.319,1.14
"CAO",2005,NA,NA,NA,0.74,0.317,1.14
"CAO",2006,NA,NA,NA,0.741,0.316,1.14
"CAO",2007,NA,NA,NA,0.741,0.315,1.14
"CAO",2008,NA,NA,NA,0.742,0.313,1.14
"CAO",2009,NA,NA,NA,0.742,0.312,1.14
"CAO",2010,NA,NA,NA,0.743,0.31,1.14
"CAO",2011,NA,NA,NA,0.743,0.309,1.14
"CAO",2012,NA,NA,NA,0.743,0.308,1.14
"CAO",2013,NA,NA,NA,0.744,0.306,1.14
"CAP",1975,0.427,0.701,2.46,0.042,0.979,63.47
"CAP",1976,0.426,0.702,2.46,0.044,0.978,60.98
"CAP",1977,0.426,0.702,2.47,0.046,0.976,58.59
"CAP",1978,0.426,0.702,2.47,0.048,0.975,56.3
"CAP",1979,0.426,0.703,2.48,0.051,0.974,54.09
"CAP",1980,0.426,0.703,2.48,0.053,0.973,51.96
"CAP",1981,0.425,0.703,2.49,0.056,0.972,49.92
"CAP",1982,0.426,0.703,2.5,0.058,0.97,47.95
"CAP",1983,0.426,0.703,2.5,0.061,0.969,46.06
"CAP",1984,0.427,0.703,2.51,0.064,0.967,44.25
"CAP",1985,0.428,0.703,2.51,0.067,0.966,42.5
"CAP",1986,0.428,0.703,2.52,0.07,0.964,40.82
"CAP",1987,0.429,0.703,2.52,0.073,0.962,39.21
"CAP",1988,0.429,0.702,2.53,0.077,0.961,37.65
"CAP",1989,0.43,0.702,2.54,0.08,0.959,36.16
"CAP",1990,0.43,0.702,2.54,0.084,0.957,34.73
"CAP",1991,0.431,0.702,2.55,0.088,0.955,33.35
"CAP",1992,0.431,0.702,2.55,0.092,0.952,32.02
"CAP",1993,0.432,0.702,2.56,0.096,0.95,30.74
"CAP",1994,0.433,0.702,2.56,0.1,0.948,29.51
"CAP",1995,0.433,0.701,2.57,0.105,0.945,28.33
"CAP",1996,0.434,0.701,2.58,0.109,0.943,27.2
"CAP",1997,0.434,0.701,2.58,0.114,0.94,26.11
"CAP",1998,0.435,0.701,2.59,0.119,0.937,25.06
"CAP",1999,0.435,0.701,2.59,0.125,0.934,24.05
"CAP",2000,0.436,0.701,2.6,0.13,0.931,23.08
"CAP",2001,0.436,0.701,2.6,0.136,0.928,22.14
"CAP",2002,0.437,0.7,2.61,0.142,0.925,21.24
"CAP",2003,0.437,0.7,2.62,0.148,0.921,20.38
"CAP",2004,0.438,0.7,2.62,0.154,0.918,19.55
"CAP",2005,0.438,0.7,2.63,0.161,0.914,18.75
"CAP",2006,0.439,0.7,2.63,0.167,0.91,17.98
"CAP",2007,0.439,0.7,2.64,0.174,0.906,17.24
"CAP",2008,0.44,0.7,2.65,0.182,0.902,16.53
"CAP",2009,0.44,0.7,2.65,0.189,0.898,15.85
"CAP",2010,0.441,0.699,2.66,0.197,0.893,15.19
"CAP",2011,0.441,0.699,2.66,0.205,0.888,14.56
"CAP",2012,0.442,0.699,2.67,0.213,0.883,13.95
"CAP",2013,0.442,0.699,2.68,0.221,0.878,13.37
"CEN",1960,0.733,0.432,1.95,0.689,0.393,1.27
"CEN",1961,0.735,0.428,1.91,0.692,0.392,1.27
"CEN",1962,0.736,0.425,1.88,0.694,0.391,1.28
"CEN",1963,0.738,0.421,1.84,0.696,0.39,1.28
"CEN",1964,0.74,0.418,1.81,0.698,0.389,1.29
"CEN",1965,0.742,0.414,1.77,0.701,0.388,1.29
"CEN",1966,0.744,0.41,1.74,0.703,0.387,1.3
"CEN",1967,0.746,0.406,1.71,0.705,0.386,1.3
"CEN",1968,0.749,0.402,1.68,0.707,0.386,1.31
"CEN",1969,0.751,0.398,1.64,0.709,0.385,1.31
"CEN",1970,0.754,0.393,1.61,0.711,0.384,1.31
"CEN",1971,0.756,0.389,1.58,0.713,0.383,1.32
"CEN",1972,0.758,0.385,1.55,0.715,0.382,1.32
"CEN",1973,0.76,0.381,1.52,0.717,0.381,1.33
"CEN",1974,0.762,0.377,1.49,0.719,0.38,1.33
"CEN",1975,0.764,0.372,1.47,0.72,0.379,1.34
"CEN",1976,0.766,0.368,1.44,0.722,0.378,1.34
"CEN",1977,0.768,0.364,1.41,0.724,0.377,1.35
"CEN",1978,0.77,0.36,1.38,0.726,0.376,1.35
"CEN",1979,0.771,0.356,1.36,0.727,0.375,1.36
"CEN",1980,0.773,0.352,1.33,0.729,0.374,1.36
"CEN",1981,0.775,0.348,1.3,0.731,0.373,1.37
"CEN",1982,0.776,0.344,1.28,0.732,0.372,1.37
"CEN",1983,0.778,0.34,1.25,0.734,0.371,1.38
"CEN",1984,0.779,0.336,1.23,0.736,0.37,1.38
"CEN",1985,0.78,0.332,1.21,0.737,0.369,1.39
"CEN",1986,0.781,0.328,1.18,0.739,0.368,1.39
"CEN",1987,0.783,0.324,1.16,0.74,0.367,1.4
"CEN",1988,0.784,0.32,1.14,0.741,0.366,1.4
"CEN",1989,0.785,0.316,1.11,0.743,0.365,1.41
"CEN",1990,0.786,0.312,1.09,0.744,0.365,1.41
"CEN",1991,0.787,0.309,1.07,0.746,0.364,1.42
"CEN",1992,0.787,0.305,1.05,0.747,0.363,1.42
"CEN",1993,0.788,0.301,1.03,0.748,0.362,1.43
"CEN",1994,0.789,0.297,1.01,0.749,0.361,1.43
"CEN",1995,0.79,0.297,1.01,0.751,0.36,1.44
"CEN",1996,0.79,0.3,1.03,0.752,0.359,1.45
"CEN",1997,0.791,0.302,1.06,0.753,0.358,1.45
"CEN",1998,0.791,0.304,1.08,0.754,0.357,1.46
"CEN",1999,0.791,0.307,1.1,0.755,0.356,1.46
"CEN",2000,0.792,0.309,1.12,0.756,0.355,1.47
"CEN",2001,0.792,0.311,1.14,0.757,0.354,1.47
"CEN",2002,0.792,0.314,1.17,0.758,0.353,1.48
"CEN",2003,0.792,0.316,1.19,0.758,0.352,1.48
"CEN",2004,0.792,0.318,1.22,0.759,0.351,1.49
"CEN",2005,0.792,0.321,1.24,0.76,0.35,1.5
"CEN",2006,0.792,0.323,1.27,0.761,0.35,1.5
"CEN",2007,0.792,0.326,1.3,0.761,0.349,1.51
"CEN",2008,0.792,0.328,1.32,0.762,0.348,1.51
"CEN",2009,0.792,0.33,1.35,0.762,0.347,1.52
"CEN",2010,0.791,0.333,1.38,0.762,0.346,1.52
"CEN",2011,0.791,0.335,1.41,0.763,0.345,1.53
"CEN",2012,0.791,0.338,1.44,0.763,0.344,1.54
"CEN",2013,0.79,0.34,1.47,0.763,0.343,1.54
"CHA",1960,0.805,0.318,1.23,0.54,0.563,1.51
"CHA",1961,0.807,0.315,1.21,0.545,0.555,1.47
"CHA",1962,0.808,0.311,1.19,0.55,0.547,1.43
"CHA",1963,0.811,0.306,1.17,0.554,0.539,1.39
"CHA",1964,0.813,0.301,1.15,0.559,0.53,1.35
"CHA",1965,0.816,0.297,1.13,0.564,0.521,1.31
"CHA",1966,0.818,0.292,1.11,0.568,0.512,1.27
"CHA",1967,0.82,0.287,1.09,0.572,0.503,1.23
"CHA",1968,0.822,0.283,1.07,0.577,0.494,1.2
"CHA",1969,0.824,0.278,1.05,0.581,0.484,1.16
"CHA",1970,0.826,0.274,1.03,0.585,0.474,1.12
"CHA",1971,0.828,0.269,1.01,0.59,0.464,1.08
"CHA",1972,0.83,0.267,1.01,0.598,0.451,1.05
"CHA",1973,0.831,0.267,1.02,0.607,0.438,1.01
"CHA",1974,0.833,0.267,1.04,0.614,0.437,1.03
"CHA",1975,0.835,0.268,1.06,0.622,0.439,1.07
"CHA",1976,0.836,0.268,1.08,0.628,0.442,1.11
"CHA",1977,0.837,0.269,1.1,0.634,0.444,1.15
"CHA",1978,0.839,0.269,1.12,0.64,0.447,1.19
"CHA",1979,0.84,0.27,1.15,0.644,0.449,1.24
"CHA",1980,0.841,0.27,1.17,0.649,0.452,1.29
"CHA",1981,0.842,0.271,1.19,0.653,0.455,1.34
"CHA",1982,0.843,0.271,1.21,0.656,0.457,1.4
"CHA",1983,0.845,0.272,1.24,0.659,0.46,1.46
"CHA",1984,0.845,0.272,1.26,0.661,0.462,1.52
"CHA",1985,0.846,0.273,1.29,0.663,0.465,1.59
"CHA",1986,0.847,0.273,1.31,0.664,0.467,1.66
"CHA",1987,0.848,0.274,1.34,0.665,0.47,1.73
"CHA",1988,0.849,0.274,1.36,0.665,0.473,1.81
"CHA",1989,0.849,0.275,1.39,0.665,0.475,1.89
"CHA",1990,0.85,0.275,1.42,0.665,0.478,1.98
"CHA",1991,0.851,0.276,1.45,0.664,0.48,2.07
"CHA",1992,0.851,0.276,1.48,0.662,0.483,2.16
"CHA",1993,0.852,0.277,1.51,0.66,0.486,2.11
"CHA",1994,0.852,0.277,1.54,0.658,0.488,2.05
"CHA",1995,0.853,0.278,1.57,0.655,0.491,2
"CHA",1996,0.853,0.278,1.6,0.652,0.493,1.94
"CHA",1997,0.854,0.279,1.63,0.649,0.496,1.89
"CHA",1998,0.854,0.279,1.67,0.645,0.499,1.85
"CHA",1999,0.854,0.28,1.7,0.641,0.501,1.8
"CHA",2000,0.854,0.281,1.74,0.636,0.504,1.76
"CHA",2001,0.855,0.281,1.77,0.631,0.507,1.71
"CHA",2002,0.855,0.282,1.81,0.625,0.509,1.67
"CHA",2003,0.855,0.282,1.85,0.619,0.512,1.63
"CHA",2004,0.855,0.283,1.89,0.613,0.514,1.59
"CHA",2005,0.855,0.283,1.93,0.606,0.517,1.56
"CHA",2006,0.855,0.284,1.97,0.599,0.52,1.52
"CHA",2007,0.855,0.284,2.01,0.591,0.522,1.49
"CHA",2008,0.855,0.285,2.05,0.583,0.525,1.46
"CHA",2009,0.855,0.285,2.1,0.576,0.526,1.42
"CHA",2010,0.855,0.286,2.14,0.573,0.525,1.39
"CHA",2011,0.855,0.286,2.19,0.571,0.523,1.36
"CHA",2012,0.855,0.287,2.24,0.568,0.521,1.34
"CHA",2013,0.855,0.287,2.28,0.566,0.52,1.31
"CHL",1945,0.533,0.626,2.39,0.138,0.927,18.25
"CHL",1946,0.532,0.627,2.4,0.141,0.925,17.87
"CHL",1947,0.531,0.628,2.42,0.144,0.924,17.5
"CHL",1948,0.53,0.63,2.43,0.147,0.922,17.14
"CHL",1949,0.528,0.631,2.44,0.15,0.92,16.78
"CHL",1950,0.527,0.633,2.46,0.153,0.918,16.43
"CHL",1951,0.526,0.634,2.47,0.156,0.916,16.1
"CHL",1952,0.524,0.635,2.48,0.16,0.914,15.76
"CHL",1953,0.523,0.637,2.5,0.163,0.913,15.44
"CHL",1954,0.522,0.638,2.51,0.166,0.911,15.13
"CHL",1955,0.521,0.64,2.52,0.17,0.909,14.82
"CHL",1956,0.519,0.641,2.53,0.173,0.906,14.52
"CHL",1957,0.518,0.642,2.55,0.177,0.904,14.22
"CHL",1958,0.517,0.644,2.56,0.181,0.902,13.93
"CHL",1959,0.515,0.645,2.57,0.184,0.9,13.65
"CHL",1960,0.514,0.647,2.59,0.188,0.898,13.38
"CHL",1961,0.513,0.648,2.6,0.192,0.896,13.11
"CHL",1962,0.511,0.649,2.62,0.196,0.893,12.85
"CHL",1963,0.51,0.651,2.63,0.2,0.891,12.59
"CHL",1964,0.509,0.652,2.64,0.204,0.889,12.34
"CHL",1965,0.507,0.653,2.66,0.208,0.886,12.1
"CHL",1966,0.506,0.655,2.67,0.212,0.884,11.86
"CHL",1967,0.505,0.656,2.68,0.216,0.881,11.62
"CHL",1968,0.503,0.658,2.7,0.22,0.879,11.4
"CHL",1969,0.502,0.659,2.71,0.225,0.876,11.17
"CHL",1970,0.501,0.66,2.73,0.229,0.873,10.96
"CHL",1971,0.499,0.662,2.74,0.233,0.871,10.74
"CHL",1972,0.498,0.663,2.75,0.238,0.868,10.54
"CHL",1973,0.496,0.664,2.77,0.242,0.865,10.33
"CHL",1974,0.495,0.666,2.78,0.247,0.862,10.14
"CHL",1975,0.494,0.667,2.8,0.251,0.859,9.94
"CHL",1976,0.492,0.668,2.81,0.256,0.856,9.75
"CHL",1977,0.491,0.67,2.83,0.261,0.853,9.57
"CHL",1978,0.49,0.671,2.84,0.266,0.85,9.39
"CHL",1979,0.488,0.672,2.86,0.271,0.847,9.21
"CHL",1980,0.487,0.674,2.87,0.276,0.844,9.04
"CHL",1981,0.485,0.675,2.88,0.28,0.84,8.87
"CHL",1982,0.484,0.676,2.9,0.285,0.837,8.71
"CHL",1983,0.483,0.678,2.91,0.291,0.834,8.55
"CHL",1984,0.481,0.679,2.93,0.296,0.83,8.39
"CHL",1985,0.48,0.68,2.94,0.301,0.827,8.24
"CHL",1986,0.478,0.682,2.96,0.306,0.823,8.09
"CHL",1987,0.477,0.683,2.97,0.311,0.82,7.95
"CHL",1988,0.476,0.684,2.99,0.317,0.816,7.8
"CHL",1989,0.474,0.686,3,0.322,0.813,7.67
"CHL",1990,0.473,0.687,3.02,0.327,0.809,7.53
"CHL",1991,0.471,0.688,3.03,0.333,0.805,7.4
"CHL",1992,0.47,0.69,3.05,0.338,0.801,7.27
"CHL",1993,0.468,0.691,3.07,0.344,0.797,7.14
"CHL",1994,0.467,0.692,3.08,0.349,0.793,7.02
"CHL",1995,0.466,0.693,3.1,0.355,0.789,6.9
"CHL",1996,0.464,0.695,3.11,0.36,0.785,6.79
"CHL",1997,0.463,0.696,3.13,0.366,0.781,6.67
"CHL",1998,0.461,0.697,3.14,0.372,0.777,6.56
"CHL",1999,0.46,0.699,3.16,0.377,0.772,6.45
"CHL",2000,0.458,0.7,3.18,0.383,0.768,6.35
"CHL",2001,0.457,0.701,3.19,0.389,0.764,6.24
"CHL",2002,0.455,0.702,3.21,0.394,0.759,6.14
"CHL",2003,0.454,0.704,3.22,0.4,0.755,6.05
"CHL",2004,0.453,0.705,3.24,0.406,0.75,5.95
"CHL",2005,0.451,0.706,3.26,0.412,0.746,5.86
"CHL",2006,0.45,0.707,3.27,0.417,0.741,5.68
"CHL",2007,0.448,0.709,3.29,0.423,0.736,5.5
"CHL",2008,0.447,0.71,3.3,0.429,0.732,5.32
"CHL",2009,0.445,0.711,3.32,0.434,0.727,5.15
"CHL",2010,0.444,0.712,3.34,0.44,0.722,4.98
"CHL",2011,0.442,0.714,3.35,0.446,0.717,4.82
"CHL",2012,0.441,0.715,3.37,0.451,0.712,4.66
"CHL",2013,0.439,0.716,3.39,0.457,0.707,4.51
"CHN",1945,0.091,0.953,66.94,NA,NA,NA
"CHN",1946,0.092,0.953,67,NA,NA,NA
"CHN",1947,0.092,0.953,67.07,NA,NA,NA
"CHN",1948,0.093,0.952,67.13,NA,NA,NA
"CHN",1949,0.093,0.952,67.19,NA,NA,NA
"CHN",1950,0.094,0.952,67.25,NA,NA,NA
"CHN",1951,0.095,0.951,67.31,NA,NA,NA
"CHN",1952,0.095,0.951,67.37,NA,NA,NA
"CHN",1953,0.096,0.951,67.43,NA,NA,NA
"CHN",1954,0.097,0.95,67.49,NA,NA,NA
"CHN",1955,0.097,0.95,67.55,NA,NA,NA
"CHN",1956,0.098,0.949,67.61,NA,NA,NA
"CHN",1957,0.099,0.949,67.67,NA,NA,NA
"CHN",1958,0.1,0.949,67.72,NA,NA,NA
"CHN",1959,0.101,0.948,67.78,NA,NA,NA
"CHN",1960,0.101,0.948,67.84,NA,NA,NA
"CHN",1961,0.102,0.947,67.9,NA,NA,NA
"CHN",1962,0.103,0.947,67.95,NA,NA,NA
"CHN",1963,0.104,0.946,68.01,NA,NA,NA
"CHN",1964,0.105,0.946,68.07,NA,NA,NA
"CHN",1965,0.106,0.946,68.12,NA,NA,NA
"CHN",1966,0.106,0.945,68.18,NA,NA,NA
"CHN",1967,0.107,0.945,68.23,NA,NA,NA
"CHN",1968,0.108,0.944,68.29,NA,NA,NA
"CHN",1969,0.109,0.944,68.34,NA,NA,NA
"CHN",1970,0.11,0.943,68.4,NA,NA,NA
"CHN",1971,0.111,0.942,68.45,NA,NA,NA
"CHN",1972,0.112,0.942,68.5,NA,NA,NA
"CHN",1973,0.114,0.941,68.56,NA,NA,NA
"CHN",1974,0.115,0.941,68.61,NA,NA,NA
"CHN",1975,0.116,0.94,68.66,NA,NA,NA
"CHN",1976,0.117,0.939,68.71,NA,NA,NA
"CHN",1977,0.118,0.939,68.76,NA,NA,NA
"CHN",1978,0.119,0.938,68.82,NA,NA,NA
"CHN",1979,0.121,0.938,68.87,NA,NA,NA
"CHN",1980,0.122,0.937,68.92,NA,NA,NA
"CHN",1981,0.123,0.936,68.96,NA,NA,NA
"CHN",1982,0.125,0.935,69.01,NA,NA,NA
"CHN",1983,0.126,0.935,69.06,NA,NA,NA
"CHN",1984,0.127,0.934,69.11,NA,NA,NA
"CHN",1985,0.129,0.933,69.16,NA,NA,NA
"CHN",1986,0.13,0.932,69.21,NA,NA,NA
"CHN",1987,0.132,0.931,69.25,NA,NA,NA
"CHN",1988,0.133,0.931,69.3,NA,NA,NA
"CHN",1989,0.135,0.93,69.34,NA,NA,NA
"CHN",1990,0.137,0.929,69.39,NA,NA,NA
"CHN",1991,0.138,0.928,69.43,NA,NA,NA
"CHN",1992,0.14,0.927,69.48,NA,NA,NA
"CHN",1993,0.142,0.926,69.52,NA,NA,NA
"CHN",1994,0.144,0.925,69.57,NA,NA,NA
"CHN",1995,0.146,0.924,69.61,NA,NA,NA
"CHN",1996,0.148,0.923,69.65,NA,NA,NA
"CHN",1997,0.15,0.922,69.69,NA,NA,NA
"CHN",1998,0.152,0.921,69.73,NA,NA,NA
"CHN",1999,0.154,0.92,69.77,NA,NA,NA
"CHN",2000,0.156,0.918,69.81,NA,NA,NA
"CHN",2001,0.158,0.917,69.85,NA,NA,NA
"CHN",2002,0.16,0.916,69.89,NA,NA,NA
"CHN",2003,0.163,0.915,69.93,NA,NA,NA
"CHN",2004,0.165,0.913,69.97,NA,NA,NA
"CHN",2005,0.168,0.912,70,NA,NA,NA
"CHN",2006,0.17,0.911,70.04,NA,NA,NA
"CHN",2007,0.173,0.909,70.08,NA,NA,NA
"CHN",2008,0.175,0.908,70.11,NA,NA,NA
"CHN",2009,0.178,0.906,67.74,NA,NA,NA
"CHN",2010,0.181,0.905,65.25,NA,NA,NA
"CHN",2011,0.184,0.903,62.84,NA,NA,NA
"CHN",2012,0.187,0.901,60.53,NA,NA,NA
"CHN",2013,0.19,0.9,58.3,NA,NA,NA
"COL",1945,0.657,0.516,2.18,0.107,0.943,16.58
"COL",1946,0.657,0.517,2.19,0.107,0.943,16.57
"COL",1947,0.657,0.517,2.19,0.107,0.943,16.55
"COL",1948,0.657,0.517,2.2,0.108,0.943,16.54
"COL",1949,0.657,0.517,2.21,0.108,0.943,16.53
"COL",1950,0.657,0.517,2.22,0.108,0.943,16.52
"COL",1951,0.657,0.517,2.22,0.108,0.943,16.51
