"year","fiw.pr","fiw.cl","fiw.status","sftgcode"
1974,2,3,"F","SRI"
1975,2,4,"PF","SRI"
1976,2,3,"F","SRI"
1977,2,2,"F","SRI"
1978,2,3,"F","SRI"
1979,2,3,"F","SRI"
1980,2,3,"F","SRI"
1982,2,3,"F","SRI"
1983,3,4,"PF","SRI"
1984,3,4,"PF","SRI"
1985,3,4,"PF","SRI"
1986,3,4,"PF","SRI"
1987,3,4,"PF","SRI"
1988,3,4,"PF","SRI"
1989,4,5,"PF","SRI"
1990,4,5,"PF","SRI"
1991,4,5,"PF","SRI"
1992,4,5,"PF","SRI"
1993,4,5,"PF","SRI"
1994,4,5,"PF","SRI"
1995,4,5,"PF","SRI"
1996,3,5,"PF","SRI"
1997,3,4,"PF","SRI"
1998,3,4,"PF","SRI"
1999,3,4,"PF","SRI"
2000,3,4,"PF","SRI"
2001,3,4,"PF","SRI"
2002,3,4,"PF","SRI"
2003,3,3,"PF","SRI"
2004,3,3,"PF","SRI"
2005,3,3,"PF","SRI"
2006,4,4,"PF","SRI"
2007,4,4,"PF","SRI"
2008,4,4,"PF","SRI"
2009,4,4,"PF","SRI"
2010,5,4,"PF","SRI"
2011,5,4,"PF","SRI"
2012,5,4,"PF","SRI"
2013,5,4,"PF","SRI"
1972,6,6,"NF","SUD"
1973,6,6,"NF","SUD"
1974,6,6,"NF","SUD"
1975,6,6,"NF","SUD"
1976,6,6,"NF","SUD"
1977,6,5,"NF","SUD"
1978,5,5,"PF","SUD"
1979,5,5,"PF","SUD"
1980,5,5,"PF","SUD"
1982,5,5,"PF","SUD"
1983,5,5,"PF","SUD"
1984,6,6,"NF","SUD"
1985,6,6,"NF","SUD"
1986,4,5,"PF","SUD"
1987,4,5,"PF","SUD"
1988,4,5,"PF","SUD"
1989,7,7,"NF","SUD"
1990,7,7,"NF","SUD"
1991,7,7,"NF","SUD"
1992,7,7,"NF","SUD"
1993,7,7,"NF","SUD"
1994,7,7,"NF","SUD"
1995,7,7,"NF","SUD"
1996,7,7,"NF","SUD"
1997,7,7,"NF","SUD"
1998,7,7,"NF","SUD"
1999,7,7,"NF","SUD"
2000,7,7,"NF","SUD"
2001,7,7,"NF","SUD"
2002,7,7,"NF","SUD"
2003,7,7,"NF","SUD"
2004,7,7,"NF","SUD"
2005,7,7,"NF","SUD"
2006,7,7,"NF","SUD"
2007,7,7,"NF","SUD"
2008,7,7,"NF","SUD"
2009,7,7,"NF","SUD"
2010,7,7,"NF","SUD"
2011,7,7,"NF","SUD"
2012,7,7,"NF","SUD"
2013,7,7,"NF","SUD"
1975,2,2,"F","SUR"
1976,2,2,"F","SUR"
1977,2,2,"F","SUR"
1978,2,2,"F","SUR"
1979,2,2,"F","SUR"
1980,7,5,"NF","SUR"
1982,7,5,"NF","SUR"
1983,7,6,"NF","SUR"
1984,7,6,"NF","SUR"
1985,6,6,"NF","SUR"
1986,6,6,"NF","SUR"
1987,4,4,"PF","SUR"
1988,3,2,"F","SUR"
1989,3,3,"PF","SUR"
1990,6,4,"PF","SUR"
1991,4,4,"PF","SUR"
1992,3,3,"PF","SUR"
1993,3,3,"PF","SUR"
1994,3,3,"PF","SUR"
1995,3,3,"PF","SUR"
1996,3,3,"PF","SUR"
1997,3,3,"PF","SUR"
1998,3,3,"PF","SUR"
1999,3,3,"PF","SUR"
2000,1,2,"F","SUR"
2001,1,2,"F","SUR"
2002,1,2,"F","SUR"
2003,1,2,"F","SUR"
2004,1,2,"F","SUR"
2005,2,2,"F","SUR"
2006,2,2,"F","SUR"
2007,2,2,"F","SUR"
2008,2,2,"F","SUR"
2009,2,2,"F","SUR"
2010,2,2,"F","SUR"
2011,2,2,"F","SUR"
2012,2,2,"F","SUR"
2013,2,2,"F","SUR"
1972,4,2,"PF","SWA"
1973,6,4,"PF","SWA"
1974,6,4,"PF","SWA"
1975,6,4,"PF","SWA"
1976,6,4,"PF","SWA"
1977,6,4,"PF","SWA"
1978,5,5,"PF","SWA"
1979,5,5,"PF","SWA"
1980,5,5,"PF","SWA"
1982,5,5,"PF","SWA"
1983,5,5,"PF","SWA"
1984,5,6,"PF","SWA"
1985,5,6,"PF","SWA"
1986,5,6,"PF","SWA"
1987,5,6,"PF","SWA"
1988,5,6,"PF","SWA"
1989,6,5,"PF","SWA"
1990,6,5,"PF","SWA"
1991,6,5,"PF","SWA"
1992,6,5,"PF","SWA"
1993,6,5,"NF","SWA"
1994,6,5,"NF","SWA"
1995,6,5,"NF","SWA"
1996,6,5,"NF","SWA"
1997,6,5,"NF","SWA"
1998,6,4,"NF","SWA"
1999,6,5,"NF","SWA"
2000,6,5,"NF","SWA"
2001,6,5,"NF","SWA"
2002,6,5,"NF","SWA"
2003,7,5,"NF","SWA"
2004,7,5,"NF","SWA"
2005,7,5,"NF","SWA"
2006,7,5,"NF","SWA"
2007,7,5,"NF","SWA"
2008,7,5,"NF","SWA"
2009,7,5,"NF","SWA"
2010,7,5,"NF","SWA"
2011,7,5,"NF","SWA"
2012,7,5,"NF","SWA"
2013,7,5,"NF","SWA"
1972,1,1,"F","SWD"
1973,1,1,"F","SWD"
1974,1,1,"F","SWD"
1975,2,1,"F","SWD"
1976,1,1,"F","SWD"
1977,1,1,"F","SWD"
1978,1,1,"F","SWD"
1979,1,1,"F","SWD"
1980,1,1,"F","SWD"
1982,1,1,"F","SWD"
1983,1,1,"F","SWD"
1984,1,1,"F","SWD"
1985,1,1,"F","SWD"
1986,1,1,"F","SWD"
1987,1,1,"F","SWD"
1988,1,1,"F","SWD"
1989,1,1,"F","SWD"
1990,1,1,"F","SWD"
1991,1,1,"F","SWD"
1992,1,1,"F","SWD"
1993,1,1,"F","SWD"
1994,1,1,"F","SWD"
1995,1,1,"F","SWD"
1996,1,1,"F","SWD"
1997,1,1,"F","SWD"
1998,1,1,"F","SWD"
1999,1,1,"F","SWD"
2000,1,1,"F","SWD"
2001,1,1,"F","SWD"
2002,1,1,"F","SWD"
2003,1,1,"F","SWD"
2004,1,1,"F","SWD"
2005,1,1,"F","SWD"
2006,1,1,"F","SWD"
2007,1,1,"F","SWD"
2008,1,1,"F","SWD"
2009,1,1,"F","SWD"
2010,1,1,"F","SWD"
2011,1,1,"F","SWD"
2012,1,1,"F","SWD"
2013,1,1,"F","SWD"
1972,1,1,"F","SWZ"
1973,1,1,"F","SWZ"
1974,1,1,"F","SWZ"
1975,1,1,"F","SWZ"
1976,1,1,"F","SWZ"
1977,1,1,"F","SWZ"
1978,1,1,"F","SWZ"
1979,1,1,"F","SWZ"
1980,1,1,"F","SWZ"
1982,1,1,"F","SWZ"
1983,1,1,"F","SWZ"
1984,1,1,"F","SWZ"
1985,1,1,"F","SWZ"
1986,1,1,"F","SWZ"
1987,1,1,"F","SWZ"
1988,1,1,"F","SWZ"
1989,1,1,"F","SWZ"
1990,1,1,"F","SWZ"
1991,1,1,"F","SWZ"
1992,1,1,"F","SWZ"
1993,1,1,"F","SWZ"
1994,1,1,"F","SWZ"
1995,1,1,"F","SWZ"
1996,1,1,"F","SWZ"
1997,1,1,"F","SWZ"
1998,1,1,"F","SWZ"
1999,1,1,"F","SWZ"
2000,1,1,"F","SWZ"
2001,1,1,"F","SWZ"
2002,1,1,"F","SWZ"
2003,1,1,"F","SWZ"
2004,1,1,"F","SWZ"
2005,1,1,"F","SWZ"
2006,1,1,"F","SWZ"
2007,1,1,"F","SWZ"
2008,1,1,"F","SWZ"
2009,1,1,"F","SWZ"
2010,1,1,"F","SWZ"
2011,1,1,"F","SWZ"
2012,1,1,"F","SWZ"
2013,1,1,"F","SWZ"
1972,7,7,"NF","SYR"
1973,7,7,"NF","SYR"
1974,6,7,"NF","SYR"
1975,6,7,"NF","SYR"
1976,6,6,"NF","SYR"
1977,5,6,"PF","SYR"
1978,5,6,"PF","SYR"
1979,5,6,"PF","SYR"
1980,5,7,"NF","SYR"
1982,5,7,"NF","SYR"
1983,6,7,"NF","SYR"
1984,6,7,"NF","SYR"
1985,6,7,"NF","SYR"
1986,6,7,"NF","SYR"
1987,6,7,"NF","SYR"
1988,6,7,"NF","SYR"
1989,7,7,"NF","SYR"
1990,7,7,"NF","SYR"
1991,7,7,"NF","SYR"
1992,7,7,"NF","SYR"
1993,7,7,"NF","SYR"
1994,7,7,"NF","SYR"
1995,7,7,"NF","SYR"
1996,7,7,"NF","SYR"
1997,7,7,"NF","SYR"
1998,7,7,"NF","SYR"
1999,7,7,"NF","SYR"
2000,7,7,"NF","SYR"
2001,7,7,"NF","SYR"
2002,7,7,"NF","SYR"
2003,7,7,"NF","SYR"
2004,7,7,"NF","SYR"
2005,7,7,"NF","SYR"
2006,7,6,"NF","SYR"
2007,7,6,"NF","SYR"
2008,7,6,"NF","SYR"
2009,7,6,"NF","SYR"
2010,7,6,"NF","SYR"
2011,7,7,"NF","SYR"
2012,7,7,"NF","SYR"
2013,7,7,"NF","SYR"
1972,6,5,"NF","TAW"
1973,6,5,"NF","TAW"
1974,6,5,"NF","TAW"
1975,6,5,"NF","TAW"
1976,5,5,"PF","TAW"
1977,5,4,"PF","TAW"
1978,5,5,"PF","TAW"
1979,5,5,"PF","TAW"
1980,5,5,"PF","TAW"
1982,5,5,"PF","TAW"
1983,5,5,"PF","TAW"
1984,5,5,"PF","TAW"
1985,5,5,"PF","TAW"
1986,5,5,"PF","TAW"
1987,5,4,"PF","TAW"
1988,5,3,"PF","TAW"
1989,4,3,"PF","TAW"
1990,3,3,"PF","TAW"
1991,3,3,"PF","TAW"
1992,3,3,"PF","TAW"
1993,4,4,"PF","TAW"
1994,3,3,"PF","TAW"
1995,3,3,"PF","TAW"
1996,2,2,"F","TAW"
1997,2,2,"F","TAW"
1998,2,2,"F","TAW"
1999,2,2,"F","TAW"
2000,1,2,"F","TAW"
2001,1,2,"F","TAW"
2002,2,2,"F","TAW"
2003,2,2,"F","TAW"
2004,2,1,"F","TAW"
2005,1,1,"F","TAW"
2006,2,1,"F","TAW"
2007,2,1,"F","TAW"
2008,2,1,"F","TAW"
2009,1,2,"F","TAW"
2010,1,2,"F","TAW"
2011,1,2,"F","TAW"
2012,1,2,"F","TAW"
2013,1,2,"F","TAW"
1991,5,5,"PF","TAJ"
1992,6,6,"NF","TAJ"
1993,7,7,"NF","TAJ"
1994,7,7,"NF","TAJ"
1995,7,7,"NF","TAJ"
1996,7,7,"NF","TAJ"
1997,6,6,"NF","TAJ"
1998,6,6,"NF","TAJ"
1999,6,6,"NF","TAJ"
2000,6,6,"NF","TAJ"
2001,6,6,"NF","TAJ"
2002,6,5,"NF","TAJ"
2003,6,5,"NF","TAJ"
2004,6,5,"NF","TAJ"
2005,6,5,"NF","TAJ"
2006,6,5,"NF","TAJ"
2007,6,5,"NF","TAJ"
2008,6,5,"NF","TAJ"
2009,6,5,"NF","TAJ"
2010,6,5,"NF","TAJ"
2011,6,5,"NF","TAJ"
2012,6,6,"NF","TAJ"
2013,6,6,"NF","TAJ"
1972,6,6,"NF","TAZ"
1973,6,6,"NF","TAZ"
1974,6,6,"NF","TAZ"
1975,6,6,"NF","TAZ"
1976,6,6,"NF","TAZ"
1977,6,6,"NF","TAZ"
1978,6,6,"NF","TAZ"
1979,6,6,"NF","TAZ"
1980,6,6,"NF","TAZ"
1982,6,6,"NF","TAZ"
1983,6,6,"NF","TAZ"
1984,6,6,"NF","TAZ"
1985,6,6,"NF","TAZ"
1986,6,6,"NF","TAZ"
1987,6,6,"NF","TAZ"
1988,6,6,"NF","TAZ"
1989,6,6,"NF","TAZ"
1990,6,5,"NF","TAZ"
1991,6,5,"NF","TAZ"
1992,6,5,"PF","TAZ"
1993,6,5,"NF","TAZ"
1994,6,6,"NF","TAZ"
1995,5,5,"PF","TAZ"
1996,5,5,"PF","TAZ"
1997,5,5,"PF","TAZ"
1998,5,4,"PF","TAZ"
1999,4,4,"PF","TAZ"
2000,4,4,"PF","TAZ"
2001,4,4,"PF","TAZ"
2002,4,3,"PF","TAZ"
2003,4,3,"PF","TAZ"
2004,4,3,"PF","TAZ"
2005,4,3,"PF","TAZ"
2006,4,3,"PF","TAZ"
2007,4,3,"PF","TAZ"
2008,4,3,"PF","TAZ"
2009,4,3,"PF","TAZ"
2010,3,3,"PF","TAZ"
2011,3,3,"PF","TAZ"
2012,3,3,"PF","TAZ"
2013,3,3,"PF","TAZ"
1972,7,5,"NF","THI"
1973,6,3,"PF","THI"
1974,5,3,"PF","THI"
1975,2,3,"F","THI"
1976,6,6,"NF","THI"
1977,6,5,"NF","THI"
1978,5,4,"PF","THI"
1979,4,4,"PF","THI"
1980,3,4,"PF","THI"
1982,3,4,"PF","THI"
1983,3,4,"PF","THI"
1984,3,4,"PF","THI"
1985,3,4,"PF","THI"
1986,3,3,"PF","THI"
1987,3,3,"PF","THI"
1988,3,3,"PF","THI"
1989,2,3,"F","THI"
1990,2,3,"F","THI"
1991,6,4,"PF","THI"
1992,3,4,"PF","THI"
1993,3,5,"PF","THI"
1994,3,5,"PF","THI"
1995,3,4,"PF","THI"
1996,3,3,"PF","THI"
1997,3,3,"PF","THI"
1998,2,3,"F","THI"
1999,2,3,"F","THI"
2000,2,3,"F","THI"
2001,2,3,"F","THI"
2002,2,3,"F","THI"
2003,2,3,"F","THI"
2004,2,3,"F","THI"
2005,3,3,"PF","THI"
2006,7,4,"NF","THI"
2007,6,4,"PF","THI"
2008,5,4,"PF","THI"
2009,5,4,"PF","THI"
2010,5,4,"PF","THI"
2011,4,4,"PF","THI"
2012,4,4,"PF","THI"
2013,4,4,"PF","THI"
1972,7,5,"NF","TOG"
1973,7,5,"NF","TOG"
1974,7,6,"NF","TOG"
1975,7,6,"NF","TOG"
1976,7,6,"NF","TOG"
1977,7,6,"NF","TOG"
1978,7,6,"NF","TOG"
1979,7,7,"NF","TOG"
1980,7,6,"NF","TOG"
1982,7,6,"NF","TOG"
1983,7,6,"NF","TOG"
1984,6,6,"NF","TOG"
1985,6,6,"NF","TOG"
1986,6,6,"NF","TOG"
1987,6,6,"NF","TOG"
1988,6,6,"NF","TOG"
1989,6,6,"NF","TOG"
1990,6,6,"NF","TOG"
1991,6,5,"NF","TOG"
1992,6,5,"NF","TOG"
1993,7,5,"NF","TOG"
1994,6,5,"NF","TOG"
1995,6,5,"NF","TOG"
1996,6,5,"NF","TOG"
1997,6,5,"NF","TOG"
1998,6,5,"NF","TOG"
1999,5,5,"PF","TOG"
2000,5,5,"PF","TOG"
2001,5,5,"PF","TOG"
2002,6,5,"NF","TOG"
2003,6,5,"NF","TOG"
2004,6,5,"NF","TOG"
2005,6,5,"NF","TOG"
2006,6,5,"NF","TOG"
2007,5,5,"PF","TOG"
2008,5,5,"PF","TOG"
2009,5,4,"PF","TOG"
2010,5,4,"PF","TOG"
2011,5,4,"PF","TOG"
2012,5,4,"PF","TOG"
2013,4,4,"PF","TOG"
1972,2,3,"F","TRI"
1973,2,2,"F","TRI"
1974,2,2,"F","TRI"
1975,2,2,"F","TRI"
1976,2,2,"F","TRI"
1977,2,2,"F","TRI"
1978,2,2,"F","TRI"
1979,2,2,"F","TRI"
1980,2,2,"F","TRI"
1982,1,2,"F","TRI"
1983,1,2,"F","TRI"
1984,1,2,"F","TRI"
1985,1,2,"F","TRI"
1986,1,2,"F","TRI"
1987,1,1,"F","TRI"
1988,1,1,"F","TRI"
1989,1,1,"F","TRI"
1990,1,1,"F","TRI"
1991,1,1,"F","TRI"
1992,1,1,"F","TRI"
1993,1,1,"F","TRI"
1994,1,2,"F","TRI"
1995,1,2,"F","TRI"
1996,1,2,"F","TRI"
1997,1,2,"F","TRI"
1998,1,2,"F","TRI"
1999,1,2,"F","TRI"
2000,2,2,"F","TRI"
2001,3,3,"PF","TRI"
2002,3,3,"PF","TRI"
2003,3,3,"PF","TRI"
2004,3,3,"PF","TRI"
2005,3,2,"F","TRI"
2006,2,2,"F","TRI"
2007,2,2,"F","TRI"
2008,2,2,"F","TRI"
2009,2,2,"F","TRI"
2010,2,2,"F","TRI"
2011,2,2,"F","TRI"
2012,2,2,"F","TRI"
2013,2,2,"F","TRI"
1972,6,5,"NF","TUN"
1973,6,5,"NF","TUN"
1974,6,5,"NF","TUN"
1975,6,5,"NF","TUN"
1976,6,5,"NF","TUN"
1977,6,5,"NF","TUN"
1978,6,5,"PF","TUN"
1979,6,5,"PF","TUN"
1980,6,5,"PF","TUN"
1982,5,5,"PF","TUN"
1983,5,5,"PF","TUN"
1984,5,5,"PF","TUN"
1985,5,5,"PF","TUN"
1986,6,5,"PF","TUN"
1987,6,5,"PF","TUN"
1988,6,4,"PF","TUN"
1989,5,3,"PF","TUN"
1990,5,4,"PF","TUN"
1991,5,5,"PF","TUN"
1992,6,5,"PF","TUN"
1993,6,5,"NF","TUN"
1994,6,5,"NF","TUN"
1995,6,5,"NF","TUN"
1996,6,5,"NF","TUN"
1997,6,5,"PF","TUN"
1998,6,5,"NF","TUN"
1999,6,5,"NF","TUN"
2000,6,5,"NF","TUN"
2001,6,5,"NF","TUN"
2002,6,5,"NF","TUN"
2003,6,5,"NF","TUN"
2004,6,5,"NF","TUN"
2005,6,5,"NF","TUN"
2006,6,5,"NF","TUN"
2007,7,5,"NF","TUN"
2008,7,5,"NF","TUN"
2009,7,5,"NF","TUN"
2010,7,5,"NF","TUN"
2011,3,4,"PF","TUN"
2012,3,4,"PF","TUN"
2013,3,3,"PF","TUN"
1972,3,4,"PF","TUR"
1973,2,4,"PF","TUR"
1974,2,3,"F","TUR"
1975,2,3,"F","TUR"
1976,2,3,"F","TUR"
1977,2,3,"F","TUR"
1978,2,3,"F","TUR"
1979,2,3,"F","TUR"
1980,5,5,"PF","TUR"
1982,5,5,"PF","TUR"
1983,4,5,"PF","TUR"
1984,3,5,"PF","TUR"
1985,3,5,"PF","TUR"
1986,3,4,"PF","TUR"
1987,2,4,"PF","TUR"
1988,2,4,"PF","TUR"
1989,3,3,"PF","TUR"
1990,2,4,"PF","TUR"
1991,2,4,"PF","TUR"
1992,2,4,"PF","TUR"
1993,4,4,"PF","TUR"
1994,5,5,"PF","TUR"
1995,5,5,"PF","TUR"
1996,4,5,"PF","TUR"
1997,4,5,"PF","TUR"
1998,4,5,"PF","TUR"
1999,4,5,"PF","TUR"
2000,4,5,"PF","TUR"
2001,4,5,"PF","TUR"
2002,3,4,"PF","TUR"
2003,3,4,"PF","TUR"
2004,3,3,"PF","TUR"
2005,3,3,"PF","TUR"
2006,3,3,"PF","TUR"
2007,3,3,"PF","TUR"
2008,3,3,"PF","TUR"
2009,3,3,"PF","TUR"
2010,3,3,"PF","TUR"
2011,3,3,"PF","TUR"
2012,3,4,"PF","TUR"
2013,3,4,"PF","TUR"
1991,6,5,"PF","TKM"
1992,7,6,"NF","TKM"
1993,7,7,"NF","TKM"
1994,7,7,"NF","TKM"
1995,7,7,"NF","TKM"
1996,7,7,"NF","TKM"
1997,7,7,"NF","TKM"
1998,7,7,"NF","TKM"
1999,7,7,"NF","TKM"
2000,7,7,"NF","TKM"
2001,7,7,"NF","TKM"
2002,7,7,"NF","TKM"
2003,7,7,"NF","TKM"
2004,7,7,"NF","TKM"
2005,7,7,"NF","TKM"
2006,7,7,"NF","TKM"
2007,7,7,"NF","TKM"
2008,7,7,"NF","TKM"
2009,7,7,"NF","TKM"
2010,7,7,"NF","TKM"
2011,7,7,"NF","TKM"
2012,7,7,"NF","TKM"
2013,7,7,"NF","TKM"
1972,7,7,"NF","UGA"
1973,7,7,"NF","UGA"
1974,7,7,"NF","UGA"
1975,7,7,"NF","UGA"
1976,7,7,"NF","UGA"
1977,7,7,"NF","UGA"
1978,7,7,"NF","UGA"
1979,6,6,"NF","UGA"
1980,4,4,"PF","UGA"
1982,5,5,"PF","UGA"
1983,4,5,"PF","UGA"
1984,4,5,"PF","UGA"
1985,5,4,"PF","UGA"
1986,5,4,"PF","UGA"
1987,5,4,"PF","UGA"
1988,5,5,"PF","UGA"
1989,6,4,"PF","UGA"
1990,6,5,"PF","UGA"
1991,6,6,"NF","UGA"
1992,6,5,"NF","UGA"
1993,6,5,"NF","UGA"
1994,5,5,"PF","UGA"
1995,5,4,"PF","UGA"
1996,4,4,"PF","UGA"
1997,4,4,"PF","UGA"
1998,4,4,"PF","UGA"
1999,5,5,"PF","UGA"
2000,6,5,"PF","UGA"
2001,6,5,"PF","UGA"
2002,6,4,"PF","UGA"
2003,5,4,"PF","UGA"
2004,5,4,"PF","UGA"
2005,5,4,"PF","UGA"
2006,5,4,"PF","UGA"
2007,5,4,"PF","UGA"
2008,5,4,"PF","UGA"
2009,5,4,"PF","UGA"
2010,5,4,"PF","UGA"
2011,5,4,"PF","UGA"
2012,5,4,"PF","UGA"
2013,6,4,"PF","UGA"
1991,3,3,"PF","UKR"
1992,3,3,"PF","UKR"
1993,4,4,"PF","UKR"
1994,3,4,"PF","UKR"
1995,3,4,"PF","UKR"
1996,3,4,"PF","UKR"
1997,3,4,"PF","UKR"
1998,3,4,"PF","UKR"
1999,3,4,"PF","UKR"
2000,4,4,"PF","UKR"
2001,4,4,"PF","UKR"
2002,4,4,"PF","UKR"
2003,4,4,"PF","UKR"
2004,4,3,"PF","UKR"
2005,3,2,"F","UKR"
2006,3,2,"F","UKR"
2007,3,2,"F","UKR"
2008,3,2,"F","UKR"
2009,3,2,"F","UKR"
2010,3,3,"PF","UKR"
2011,4,3,"PF","UKR"
2012,4,3,"PF","UKR"
2013,4,3,"PF","UKR"
1972,7,5,"NF","UAE"
1973,6,5,"NF","UAE"
1974,6,5,"NF","UAE"
1975,6,5,"NF","UAE"
1976,5,5,"PF","UAE"
1977,5,5,"PF","UAE"
1978,5,5,"PF","UAE"
1979,5,5,"PF","UAE"
1980,5,5,"PF","UAE"
1982,5,5,"PF","UAE"
1983,5,5,"PF","UAE"
1984,5,5,"PF","UAE"
1985,5,5,"PF","UAE"
1986,5,5,"PF","UAE"
1987,5,5,"PF","UAE"
1988,5,5,"PF","UAE"
1989,6,5,"NF","UAE"
1990,6,5,"NF","UAE"
1991,6,5,"NF","UAE"
1992,6,5,"PF","UAE"
1993,7,5,"NF","UAE"
1994,6,5,"NF","UAE"
1995,6,5,"NF","UAE"
1996,6,5,"NF","UAE"
1997,6,5,"NF","UAE"
1998,6,5,"NF","UAE"
1999,6,5,"NF","UAE"
2000,6,5,"NF","UAE"
2001,6,5,"NF","UAE"
2002,6,5,"NF","UAE"
2003,6,6,"NF","UAE"
2004,6,6,"NF","UAE"
2005,6,6,"NF","UAE"
2006,6,5,"NF","UAE"
2007,6,5,"NF","UAE"
2008,6,5,"NF","UAE"
2009,6,5,"NF","UAE"
2010,6,5,"NF","UAE"
2011,6,6,"NF","UAE"
2012,6,6,"NF","UAE"
2013,6,6,"NF","UAE"
1972,1,1,"F","UKG"
1973,1,1,"F","UKG"
1974,1,1,"F","UKG"
1975,1,1,"F","UKG"
1976,1,1,"F","UKG"
1977,1,1,"F","UKG"
1978,1,1,"F","UKG"
1979,1,1,"F","UKG"
1980,1,1,"F","UKG"
1982,1,1,"F","UKG"
1983,1,1,"F","UKG"
1984,1,1,"F","UKG"
1985,1,1,"F","UKG"
1986,1,1,"F","UKG"
1987,1,1,"F","UKG"
1988,1,1,"F","UKG"
1989,1,1,"F","UKG"
1990,1,2,"F","UKG"
1991,1,2,"F","UKG"
1992,1,2,"F","UKG"
1993,1,2,"F","UKG"
1994,1,2,"F","UKG"
1995,1,2,"F","UKG"
1996,1,2,"F","UKG"
1997,1,2,"F","UKG"
1998,1,2,"F","UKG"
1999,1,2,"F","UKG"
2000,1,2,"F","UKG"
2001,1,2,"F","UKG"
2002,1,1,"F","UKG"
2003,1,1,"F","UKG"
2004,1,1,"F","UKG"
2005,1,1,"F","UKG"
2006,1,1,"F","UKG"
2007,1,1,"F","UKG"
2008,1,1,"F","UKG"
2009,1,1,"F","UKG"
2010,1,1,"F","UKG"
2011,1,1,"F","UKG"
2012,1,1,"F","UKG"
2013,1,1,"F","UKG"
1972,1,1,"F","USA"
1973,1,1,"F","USA"
1974,1,1,"F","USA"
1975,1,1,"F","USA"
1976,1,1,"F","USA"
1977,1,1,"F","USA"
1978,1,1,"F","USA"
1979,1,1,"F","USA"
1980,1,1,"F","USA"
1982,1,1,"F","USA"
1983,1,1,"F","USA"
1984,1,1,"F","USA"
1985,1,1,"F","USA"
1986,1,1,"F","USA"
1987,1,1,"F","USA"
1988,1,1,"F","USA"
1989,1,1,"F","USA"
1990,1,1,"F","USA"
1991,1,1,"F","USA"
1992,1,1,"F","USA"
1993,1,1,"F","USA"
1994,1,1,"F","USA"
1995,1,1,"F","USA"
1996,1,1,"F","USA"
1997,1,1,"F","USA"
1998,1,1,"F","USA"
1999,1,1,"F","USA"
2000,1,1,"F","USA"
2001,1,1,"F","USA"
2002,1,1,"F","USA"
2003,1,1,"F","USA"
2004,1,1,"F","USA"
2005,1,1,"F","USA"
2006,1,1,"F","USA"
2007,1,1,"F","USA"
2008,1,1,"F","USA"
2009,1,1,"F","USA"
2010,1,1,"F","USA"
2011,1,1,"F","USA"
2012,1,1,"F","USA"
2013,1,1,"F","USA"
1972,3,4,"PF","URU"
1973,5,5,"PF","URU"
1974,5,5,"PF","URU"
1975,5,5,"PF","URU"
1976,6,6,"NF","URU"
1977,6,6,"NF","URU"
1978,6,6,"NF","URU"
1979,6,6,"NF","URU"
1980,5,5,"PF","URU"
1982,5,5,"PF","URU"
1983,5,4,"PF","URU"
1984,5,4,"PF","URU"
1985,2,2,"F","URU"
1986,2,2,"F","URU"
1987,2,2,"F","URU"
1988,2,2,"F","URU"
1989,1,2,"F","URU"
1990,1,2,"F","URU"
1991,1,2,"F","URU"
1992,1,2,"F","URU"
1993,2,2,"F","URU"
1994,2,2,"F","URU"
1995,2,2,"F","URU"
1996,1,2,"F","URU"
1997,1,2,"F","URU"
1998,1,2,"F","URU"
1999,1,2,"F","URU"
2000,1,1,"F","URU"
2001,1,1,"F","URU"
2002,1,1,"F","URU"
2003,1,1,"F","URU"
2004,1,1,"F","URU"
2005,1,1,"F","URU"
2006,1,1,"F","URU"
2007,1,1,"F","URU"
2008,1,1,"F","URU"
2009,1,1,"F","URU"
2010,1,1,"F","URU"
2011,1,1,"F","URU"
2012,1,1,"F","URU"
2013,1,1,"F","URU"
1972,6,6,"NF","USS"
1973,6,6,"NF","USS"
1974,6,6,"NF","USS"
1975,7,6,"NF","USS"
1976,7,6,"NF","USS"
1977,7,6,"NF","USS"
1978,6,6,"NF","USS"
1979,6,6,"NF","USS"
1980,6,7,"NF","USS"
1982,6,7,"NF","USS"
1983,6,7,"NF","USS"
1984,7,7,"NF","USS"
1985,7,7,"NF","USS"
1986,7,7,"NF","USS"
1987,7,6,"NF","USS"
1988,6,5,"NF","USS"
1989,6,5,"NF","USS"
1990,5,4,"PF","USS"
1991,6,5,"PF","UZB"
1992,6,6,"NF","UZB"
1993,7,7,"NF","UZB"
1994,7,7,"NF","UZB"
1995,7,7,"NF","UZB"
1996,7,6,"NF","UZB"
1997,7,6,"NF","UZB"
1998,7,6,"NF","UZB"
1999,7,6,"NF","UZB"
2000,7,6,"NF","UZB"
2001,7,6,"NF","UZB"
2002,7,6,"NF","UZB"
2003,7,6,"NF","UZB"
2004,7,6,"NF","UZB"
2005,7,7,"NF","UZB"
2006,7,7,"NF","UZB"
2007,7,7,"NF","UZB"
2008,7,7,"NF","UZB"
2009,7,7,"NF","UZB"
2010,7,7,"NF","UZB"
2011,7,7,"NF","UZB"
2012,7,7,"NF","UZB"
2013,7,7,"NF","UZB"
1972,2,2,"F","VEN"
1973,2,2,"F","VEN"
1974,2,2,"F","VEN"
1975,2,2,"F","VEN"
1976,1,2,"F","VEN"
1977,1,2,"F","VEN"
1978,1,2,"F","VEN"
1979,1,2,"F","VEN"
1980,1,2,"F","VEN"
1982,1,2,"F","VEN"
