"sftgcode","year","wdi.trade","wdi.gdppcppp","wdi.gdppc","wdi.gdppcgrow","wdi.inflation","wdi.cpi","wdi.popsize","wdi.popurb","wdi.popgrow","wdi.popdens","wdi.pop014","wdi.miltot","wdi.milpct","wdi.forest","wdi.minerals","wdi.energy","wdi.mobiles","wdi.netusers","wdi.imrate"
"AZE",1992,140.799983402834,6345.5169997564,1243.90973651529,-22.6000003946572,-10.6300979143896,0.0385279630792771,7382000,53.132,1.51507709398871,88.7078361392504,34.4007720947266,43000,1.40500744653947,NA,NA,NA,0,NA,75.8
"AZE",1993,133.420761131129,4806.13270233044,942.144708404829,-23.099999548566,1128.00002271384,0.473123395364701,7495000,52.824,1.51915269467542,90.0657317615391,34.3459167480469,45000,1.43562055336473,NA,0,25.8045711517334,0,NA,76.1
"AZE",1994,55.3526580466289,3807.50790708691,746.384598396977,-19.7000000190049,1662.21594741619,8.33745592407371,7597000,52.515,1.35173009665235,91.2914428542245,34.1896324157715,50000,1.56751850847479,NA,0,25.5198097229004,0.00651454933390036,0.00143141529756131,75.9
"AZE",1995,69.4108913675134,3319.76734895474,650.772967512164,-11.8000008993603,411.759641786225,42.667734571124,7685000,52.206,1.15169444694746,92.3489190910511,33.9356689453125,126700,3.91765685160151,NA,0,28.0328598022461,0.0772120678344048,0.0020555557625386,75
"AZE",1996,85.0633599742374,3329.13480415802,652.60926686085,1.30000019976242,19.7948027979181,51.1137284878171,7763000,51.896,1.0098480432984,93.2862275736929,33.5870018005371,110700,3.37074135604285,NA,0,33.0909996032715,0.216497821713534,0.00635458454679421,73.4
"AZE",1997,82.046246691237,3488.41002547603,683.831939275204,5.80000052390139,3.67434810778116,52.9918248033256,7838250,51.588,0.964673773704232,94.1904899239338,33.1377868652344,106700,3.19112633600377,NA,0,22.5536994934082,0.504939252652036,0.0251879334685925,71
"AZE",1998,77.2335799943033,3801.00252072188,745.109349518191,10.0000002781915,-0.772697894928513,52.5823580885861,7913000,51.278,0.949138146647058,95.2317912675107,32.5757904052734,87150,2.55628520575236,0.00556363118812442,0.000180583272594959,14.909122467041,0.814081353028257,0.0374851090404337,68
"AZE",1999,69.861221484048,4046.6074672842,793.255211293822,7.40000058167318,-8.52517001024408,48.0996226661388,7982750,51.185,0.877598699856844,96.5207665800133,31.8876781463623,84900,2.44359160187359,0.00611540675163269,0,25.5995063781738,4.59745206721326,0.0992289415099966,64.5
"AZE",2000,77.419454865306,4458.99842303434,874.096082908875,11.0999992535406,1.80500303774897,48.9678223164084,8048600,51.386,0.821519963674211,97.434779976999,31.0732097625732,87100,2.44935515312266,0.00555055867880583,0,45.0512161254883,5.17878001050046,0.147757575623251,60.7
"AZE",2001,78.2409718564226,4862.6190309313,953.217705944559,9.89999999999999,1.54719591077573,49.7254504608838,8111200,51.587,0.774765939386613,98.1937920681807,30.1358680725098,87100,2.39410681399632,0.00506907515227795,0,36.2150993347168,8.90740653293599,0.305564637615618,56.9
"AZE",2002,92.8174579872131,5338.07631838764,1046.42145107467,10.5999992015725,2.77116471396268,51.1034245979148,8171950,51.787,0.746173582716985,98.9124645960929,29.1029644012451,87100,2.33804664926509,0.0161933805793524,0,18.7473411560059,9.59205620254094,4.99971367812957,53.2
"AZE",2003,107.561386692787,5891.13710833521,1154.83778681643,11.2000002371477,2.2338649332698,52.2450060797076,8234100,51.988,0.757650955616913,99.6237235638581,28.0290870666504,81500,2.13881626098702,0.00242347968742251,0,20.4394245147705,12.6293746279197,NA,49.8
"AZE",2004,121.503364477217,6435.44812947118,1261.53890808198,10.2000003982988,6.70893042089568,55.7500871859879,8306500,52.189,0.875427280482454,100.475372556609,26.9816265106201,81000,2.07693958593004,0.00214930437505245,0.0009183170623146,23.1310176849365,17.2061565053897,NA,46.7
"AZE",2005,115.833445398283,8051.67483806248,1578.36733030667,26.4000008082431,9.67950732681473,61.1464209598612,8391850,52.389,1.02226559239828,101.522501814662,26.0112857818604,82000,2.05710111304222,0.00148258032277226,0.000978922471404076,36.1036758422852,26.1811958290389,8.03037535616454,43.9
"AZE",2006,105.265616073205,10711.1822716451,2099.70975064772,34.4999995102935,8.37406319535209,66.266860892736,8484550,52.589,1.09858657441812,102.672531674674,25.1318702697754,82000,2.01072649019354,0.00116887991316617,0.00105880375485867,46.2137718200684,38.3554264128611,11.9921773343674,41.5
"AZE",2007,96.6446391988858,13243.2128559113,2596.06292361126,25.0489995231791,16.5953667319971,77.2640894796679,8581300,52.79,1.13385546615645,103.853368672016,24.3443241119385,82000,1.97043198597437,0.00087950227316469,0.00253429869189858,50.0974044799805,51.5272193476898,14.54,39.3
"AZE",2008,89.2428968637573,14364.9942336723,2815.96538043109,10.7724207826314,20.7915791445951,93.3285137941838,8763400,52.99,2.09985403259251,106.059762547351,23.666618347168,82000,1.90937634180258,0.000705124577507377,0.00347398454323411,48.903881072998,73.7581002400517,17.08,37.2
"AZE",2009,74.7440416836369,15393.8932908055,3017.66014464157,9.41065376397619,1.40105614831656,94.6360986748297,8947243,53.19,2.07614826384645,108.291290455327,23.1140727996826,81940,1.83816601550933,0.000744785007555038,0.0127138420939445,33.1097412109375,86.3219495171854,27.4,35.4
"AZE",2010,74.9859884610856,15950.2574578784,3126.72404038035,4.85433932383958,5.66792312899615,100,9054332,53.401,1.18978770786007,109.542344173442,22.6934585571289,81940,1.81494554720365,0.000548186537344009,0.0857662111520767,36.1059341430664,100.059320146045,46,33.8
"AZE",2011,80.5080450059522,15754.1523626148,3088.28161915795,0.0659227678492726,7.85045057926801,107.850450579268,9173082,53.623,1.30300085487651,110.976336228798,22.4079246520996,81950,1.77134421141139,0.000517566746566445,0.106733955442905,33.6556701660156,109.9720704266,50,32.4
"AZE",2012,79.3484581905732,15888.2179950886,3114.56246366165,2.20000018843571,1.01410982083208,108.944172590404,9295784,53.856,1.32876382733755,112.460790244139,22.2464179992676,81950,1.7283771477116,0.000476512883324176,0.144252598285675,29.4207534790039,108.768338113854,54.2,31.1
"AZE",2013,75.5937631047234,16593.1887600482,3252.75766486048,5.79667839631929,2.42380140385646,111.58476297507,9416801,54.1,1.29344702700591,113.924859057804,22.2119590966939,81950,1.69251005954042,0.000450765888672322,0.139311611652374,25.830005645752,107.613407242001,58.7,29.9
"AZE",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAH",1960,NA,NA,NA,NA,NA,NA,162501,82.32,3.52985927626832,NA,41.2760543823242,NA,NA,NA,NA,NA,0,NA,134.6
"BAH",1961,NA,NA,NA,NA,NA,NA,167924,82.337,3.28273404987337,243.368115942029,42.2584037780762,NA,NA,NA,NA,NA,NA,NA,123.8
"BAH",1962,NA,NA,NA,NA,NA,NA,173107,82.355,3.03984043213532,250.879710144928,43.6077117919922,NA,NA,NA,NA,NA,NA,NA,114.1
"BAH",1963,NA,NA,NA,NA,NA,NA,178048,82.372,2.81432764438252,258.040579710145,45.0496482849121,NA,NA,NA,NA,NA,NA,NA,105.1
"BAH",1964,NA,NA,NA,NA,NA,NA,182774,82.389,2.61972400957204,264.889855072464,46.2401657104492,NA,NA,NA,NA,NA,NA,NA,96.4
"BAH",1965,NA,NA,NA,NA,NA,17.965654749727,187348,82.5,2.47174330192404,271.51884057971,46.9602012634277,NA,NA,NA,NA,NA,0,NA,88.5
"BAH",1966,NA,NA,NA,NA,2.13447171852239,18.3491265694073,191782,82.761,2.33914603113963,277.944927536232,47.1603164672852,NA,NA,NA,NA,NA,NA,NA,81
"BAH",1967,NA,NA,NA,NA,4.25809822309292,19.1304504018123,196203,83.019,2.27905272469615,284.352173913043,46.9289474487305,NA,NA,NA,NA,NA,NA,NA,74.2
"BAH",1968,NA,NA,NA,NA,3.25732899024462,19.7535921087149,200953,83.275,2.39212123363683,291.236231884058,46.3556137084961,NA,NA,NA,NA,NA,NA,NA,67.9
"BAH",1969,NA,NA,NA,NA,-0.194127638923874,19.7152449267516,206469,83.526,2.70792301958072,299.230434782609,45.5811767578125,NA,NA,NA,NA,NA,NA,NA,62.2
"BAH",1970,NA,NA,NA,NA,1.62898127839348,20.0364025755978,213102,83.775,3.16206442592466,308.84347826087,44.7091064453125,NA,NA,NA,NA,NA,0,NA,56.9
"BAH",1971,NA,NA,NA,NA,5.78947368498403,21.1964048301295,220808,84.021,3.55226213049754,320.011594202899,43.7937049865723,NA,NA,NA,NA,NA,NA,NA,52.3
"BAH",1972,NA,NA,NA,NA,5.08819538648817,22.2749193227975,229588,84.265,3.89928526405569,332.736231884058,42.8241004943848,NA,NA,NA,NA,NA,NA,NA,48
"BAH",1973,NA,NA,NA,NA,14.3318269849979,25.4673222211887,239860,84.504,4.37690215323788,347.623188405797,41.789794921875,NA,NA,NA,NA,NA,NA,NA,44
"BAH",1974,NA,NA,NA,NA,24.3929983061798,31.6795656992326,252139,84.741,4.99251029410768,365.41884057971,40.6739921569824,NA,NA,NA,NA,NA,NA,NA,40.6
"BAH",1975,NA,NA,NA,NA,16.1597821153707,36.7989144913243,266686,84.975,5.60914136271679,386.501449275362,39.4928855895996,NA,NA,NA,NA,NA,0,NA,37.5
"BAH",1976,NA,NA,NA,NA,22.495766575964,45.0771123977812,283843,85.206,6.23493320283766,411.366666666667,38.2711563110352,NA,NA,NA,NA,NA,0,NA,34.8
"BAH",1977,NA,NA,NA,NA,17.7311208942373,53.069789692663,303236,85.434,6.60901118289901,439.472463768116,37.0803604125977,NA,NA,NA,NA,NA,0,NA,32.5
"BAH",1978,NA,NA,NA,NA,15.7855375941987,61.4471412957605,323511,85.659,6.47217362248672,468.85652173913,36.0213394165039,NA,NA,NA,NA,NA,0,NA,30.3
"BAH",1979,NA,NA,NA,NA,2.20599195116766,62.8026602869676,342829,85.882,5.79986641243159,496.853623188406,35.1740951538086,NA,NA,NA,NA,NA,0,NA,28.4
"BAH",1980,239.348931922257,NA,17241.8640197252,NA,3.86952505941503,65.2328249647511,359902,86.101,4.85999915903694,521.597101449275,34.5585746765137,NA,NA,0.00330896838568151,0,21.021354675293,0,NA,26.7
"BAH",1981,251.138879947508,NA,15704.5374275574,-5.31669628391995,11.3445968083975,72.6332259437298,374125,86.317,3.87581940041245,542.210144927536,34.1524887084961,NA,NA,0.00163058156613261,0,17.5459022521973,0,NA,25.3
"BAH",1982,225.758683396557,NA,14073.0600414989,-7.55621750723262,8.88571308471458,79.0872060052621,385950,86.531,3.11178612229998,559.347826086957,33.9028358459473,NA,NA,0.00401269784197211,0,15.7884483337402,0,NA,24
"BAH",1983,189.632583309598,NA,14574.0295644788,6.37637731150235,2.97239915075073,81.437993444915,396447,86.742,2.6834535135382,574.560869565217,33.7576026916504,NA,NA,0.0027430048212409,0,13.4904947280884,0,NA,22.8
"BAH",1984,190.330268771242,NA,14898.3047882695,5.00364422449621,0.322399250235335,81.7005489251881,407223,86.95,2.6818584410536,590.178260869565,33.6555137634277,NA,NA,0.00271669332869351,0,12.5810785293579,0,NA,21.9
"BAH",1985,191.610225233758,NA,13776.6025408417,-4.75826715146343,-2.6359693029697,79.5469475351624,419425,87.155,2.95237787146834,607.86231884058,33.5535545349121,2800,NA,0.00113377906382084,0,14.7896270751953,0,NA,21.1
"BAH",1986,183.523571205676,NA,13487.2649671857,1.18299552992805,-2.29609321419561,77.7204754707078,433491,87.357,3.298630910294,628.247826086956,33.4599800109863,NA,NA,0.00419673230499029,0,13.0921993255615,0.142563513429345,NA,20.5
"BAH",1987,189.767927979573,NA,14375.3026591068,10.3990069141594,-1.74500175377059,76.3642518107051,449006,87.557,3.5165215922519,650.733333333333,33.376838684082,NA,NA,0.00399407418444753,0,11.0726089477539,0.381286664320744,NA,20.1
"BAH",1988,172.832415437567,NA,14844.4044486646,6.99999382457572,0.303435966086568,76.5959684159317,465254,87.754,3.55472423316892,674.28115942029,33.254524230957,NA,NA,0.00389504968188703,0,9.03386497497559,0.620306327296488,NA,19.8
"BAH",1989,186.273822013656,NA,14406.4710200344,0.364005337788115,1.48589732182573,77.7341058592505,481142,87.949,3.35789518190209,697.307246376812,33.0374412536621,5000,NA,0.00388711597770453,0,10.4654769897461,0.883522951644213,NA,19.7
"BAH",1990,210.160965794769,35398.3875491901,14596.7703025119,4.4379973302171,0.929335437489101,78.4565164520158,495944,88.14,3.03005722924389,718.759420289855,32.6994590759277,8000,3.72758787788422,0.00383350299671292,0,13.4327840805054,1.03781878599197,0,19.5
"BAH",1991,180.64181562513,38315.1286835402,15799.5087128656,11.2299997232052,0.764419735927603,79.0562535478963,509645,88.329,2.72513877868544,738.615942028986,32.1979026794434,8000,3.57280027153282,0.00290721305646002,0,8.17740345001221,1.44296520126755,NA,19.2
"BAH",1992,181.124041200179,39853.5382636115,16433.8825594223,6.6899964793224,-0.172413793103317,78.919949662469,522751,88.398,2.5390846355293,736.269014084507,31.5668449401855,7000,3.01042898613052,0.00220239907503128,0,8.52714920043945,1.85231592096428,NA,18.7
"BAH",1993,164.603898157482,43894.4636469315,18100.1861318081,12.8700074230811,2.53886010362696,80.9236167782519,535711,88.395,2.44895852897816,754.522535211268,30.9349632263184,7000,2.90175888041852,0.00171091395895928,0,9.35744953155518,2.12054633935088,NA,17.8
"BAH",1994,155.178172766121,42711.6556113715,17612.4470453019,-0.25000099991513,0.816910897759769,81.5846906225748,549170,88.392,2.48132109358619,773.478873239437,30.4677963256836,8000,3.20838028931569,0.00124830659478903,0,8.2985725402832,3.20774987708724,NA,16.7
"BAH",1995,152.464311429352,43243.7112035112,17831.8438541491,3.92999224126002,2.70403475064704,83.7907690082171,563730,88.388,2.61673659763081,793.985915492958,30.2584571838379,20000,7.77837844144631,0.00144226104021072,0,7.54804229736328,4.89596083231334,0.346205843608434,15.5
"BAH",1996,164.115421939189,43780.9843362081,18053.3921519858,4.11000538306992,-0.452227382530339,83.4118442067292,579697,88.385,2.79301397725614,816.474647887324,30.3172168731689,20300,7.68412565627354,0.00161717738956213,0,9.16144943237305,6.91395677396985,0.843254219222486,14.3
"BAH",1997,148.582075539782,43797.6219795038,18060.252799444,3.09299924979022,2.43155133955926,85.440046021889,597400,88.382,3.00813525402772,841.408450704225,30.5510540008545,20850,7.68417134412189,0.00188071059528738,0,9.4745922088623,9.79963173752929,1.64629920170952,13.1
"BAH",1998,128.489096851038,44398.9414226403,18308.2110370247,4.79000236543069,-0.366533864541779,85.1268793193387,617537,88.379,3.31520799533897,869.770422535211,30.8221206665039,20850,7.46276669995383,0.00197837175801396,0,7.20694494247437,14.9080945757096,3.21820215136814,12.2
